Assemblage_Name	3027240-1-4	3-1411309-4	3-1-6351905	2890116-6714213-2	3-216346-4	1-307611-3509418	8312778-1-4	3-4253318-4	2890116-307611-2	5517934-307611-6912056	1-307611-249597	5406263-1-4	3-1-1	3-1-4	1-307611-3777424	3-9999464-4	5472849-307611-2	7041854-1-4	1-307611-1716953	7226608-1-4	1-307611-1420715	3975334-307611-3896269	1-652784-2	9815453-307611-3896269	3-1-9972908	3-7329479-4	3-1013817-4	5586833-307611-6912056	3148422-1-3338836	3445453-0-4	1-1-3	2952528-7234405-3896269	4840577-1-3338836	2890116-5105498-2	1-6034273-9545084	6625266-307611-2	1-307611-4646548	1482062-307611-3896269	1-307611-2	3-7424961-4	3-1-1610149	1-307611-1080743	3-1-3875312	5406263-1-8753407	1-6034273-2	3-2116349-4	5845587-307611-2	7244294-307611-3896269	3205415-307611-2	7515185-1-3	9488148-307611-2	3-7442538-4	3-1-3338836	1-8129999-3896269	5517934-307611-2	4573597-307611-249597	1-307611-1022070	218516-307611-2	76425-1-4	1-2900849-3896269	735888-307611-3896269	1-2380393-2	8572074-9720291-9842120	1-398548-3896269	1-1328407-3	7041854-1269175-4	1-7889069-2	1-3123713-3896269	1722578-307611-2	3-1-3895799	185893-0-4	1-3979391-1022070	5517934-8916199-2	1-307611-3896269	9166412-307611-2	2952528-307611-3896269	1217736-8129999-3896269	1-9957130-2	1-6643582-2	3-1-8864954	825902-9138815-4	1-307611-8801131	825902-2-4	3-0-2625755	675344-307611-2	3-9332986-4	3-1-6781864	6268656-4-2	1884012-1-3	3904263-1-4	3-0-4	3-9661654-4	3-0-4286410	4972401-307611-2	7515185-1-5058418	1-7295504-3896269	825902-566365-4	1066180-307611-2
assemblage-375-787	0	0	0	0	0	42	0	0	0	0	18	0	0	61	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	45	0	0	0	0	0	0	0	0	24	0	12	0	0	0	7	0	16	0	0	15	0	0	0	15
assemblage-987-763	0	0	0	0	0	0	0	0	0	0	44	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	4	0	6	0	0	29	0	7	0	0	0	0	0	0	0	20	0	0	0	0	0	0	26
assemblage-300-862	0	0	0	0	0	0	0	0	0	0	0	54	0	234	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	23	0	0	56	0	0	0	0	0	0	0	8
assemblage-532-763	0	0	0	0	0	0	0	0	0	0	0	87	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	42	0	0	0	0	0	0	0	21
assemblage-181-462	0	0	0	0	0	16	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	6	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	87	0	0	0	0	0	13	0	77	0	0	0	0	0	0	16
assemblage-943-371	0	0	0	0	0	0	0	0	0	0	69	45	0	196	22	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	20	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	14
assemblage-866-109	0	0	0	0	0	0	0	0	27	0	32	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	167	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-877-569	0	0	0	0	0	0	0	0	0	0	3	0	0	80	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	8	0	7	0	75	0	0	0	0	0	0	0	0	0	21	0	0	0	0	9	0	11
assemblage-877-568	0	0	0	0	0	0	0	0	0	0	6	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	8	0	4	0	78	0	0	0	0	0	0	0	0	0	10	0	0	0	0	4	0	24
assemblage-857-558	0	0	0	0	0	0	11	0	0	0	31	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	16	0	34	0	0	0	0	0	0	0	12	0	0	0	0	0	0	32
