Assemblage_Name	1-6749004-3	1-3-6060424	0-2240727-0	3-0-2214839	8819633-3-8824599	1-8156414-7519527	1-3-1517043	1-258511-9258641	6450305-3-3	1-3-6037924	1-3-4463406	1-3-9258641	1-5127672-3	0-6420075-0	1-8156414-5210008	1-3-8461666	13785-3-1517043	0-1449546-0	1-3-2905398	1-8207196-1517043	1-3-276805	0-3376418-0	9291983-4923142-4051409	8184657-4707682-2	1-3-1192933	8685439-2-0	1-2971891-9258641	8184657-0-9576050	1-3-6923148	4671214-2-0	0-4808887-0	0-9904410-0	1880725-0-4051409	1-8526610-1517043	3120498-104923-1517043	8184657-5129830-2	916680-0-2	1-6749004-104376	1-8526610-2877577	1757663-2-0	3326265-2971891-9258641	8723467-3-9258641	1255240-3-9258641	0-8520084-0	3740074-3-9258641	1-8156414-1517043	1-3306794-3	7290849-3-9258641	1057318-8156414-1517043	0-2-0	8819633-3-9258641	1-3-3	0-9904410-9118967	735171-2-0	6631896-3-9258641	49629-3-9258641	0-2-8337021	8184657-396758-2	9890892-0-4051409	7351262-2-0	4-4295029-3	8230383-2-0	0-6229210-0	1-3-2617796	2-4145887-982476	9938460-0-2	0-2-4160314	9167500-2-0	1-8156414-186313	8819633-2230716-9258641	8184657-0-9809282	0-3611706-0	1-2919486-9258641	3-0-1	4-4-3	1-8194289-9258641	8184657-0-6364866	0-2240727-55391	1200528-6420075-0	4896893-0-2	2-4196683-982476	6441791-2-0	9291983-0-4051409	1319660-2-0	8184657-0-4051409	9134804-0-2	8184657-0-2	0-6647474-0
assemblage-492-657	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	74	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	8	0	0	0	0	0	0	132	0	0	0	0	0	45	10
assemblage-268-734	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	7	17
assemblage-113-897	0	0	0	0	0	0	16	0	0	0	5	68	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	16	0	106	0	127	24
assemblage-685-298	0	0	0	0	0	0	122	0	0	0	0	18	0	0	0	0	5	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	144	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	10	0	0	0	13	0	50	20
assemblage-601-501	0	0	0	0	0	0	43	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	17	0	83	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	5	72	0	0	0	0	0	3	0	0	0	68	0	44	17
assemblage-608-503	0	0	0	0	0	0	63	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	109	0	63	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	8	0	0	0	0	21	22	0	0	0	0	0	10	0	0	0	30	0	42	25
assemblage-724-995	0	0	0	0	0	0	79	0	0	0	0	54	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	94	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	25	0	0	0	0	0	15	0	0	0	20	0	59	25
assemblage-734-991	0	0	0	0	0	0	148	0	0	0	0	58	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	24	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	7	11	107	20
assemblage-731-490	0	0	0	0	0	0	123	0	0	0	0	38	0	0	9	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	129	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	17	7
assemblage-458-410	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	199	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	23
