Assemblage_Name	9694113-3-1631055	4685974-1-4	9694113-3-4404186	1005457-8340283-4	1-4590723-2	1-6883420-2	1005457-1-8350915	3913768-3-2	4-5497222-2	9410385-3-2	8171525-3-4404186	4-3-440452	1-1-0	8295371-1-4	468944-4-1	9694113-7361327-2	0-1-4	5087370-8429014-0	1-4-7498597	1-5753370-1	1-4-6563602	4-5102732-2	2-2-3	9694113-118718-2	0-1-936078	1-4-7682267	1005457-3663525-4	1005457-1-8323998	1-4875244-1	1-4-1088569	3-1-0	5087370-1-0	2485107-3444607-8376142	3709257-1-4	9694113-3-6349458	0-1-8982340	4-3-2	3-1-4517349	6363405-3-2	9694113-4296998-4885903	3-1-5876224	1720433-1-4	1222536-4-1	9694113-9982128-2	9694113-3-2	1-4-6361003	1-9161139-7682267	1-4553972-1	1703551-2-2	9694113-3-6783716	1-4-9997946	7819528-4-1	1-5241753-1	9694113-4616934-2	8990210-1-4	1005457-6000466-4	1005457-7784481-4	1710167-4-1	1-2-2	5790013-4-1	1-4-1	6481076-4-1	9694113-3-1790589	9694113-4296998-2	1-4590723-1796634	2342338-3-4404186	1005457-1-4	9694113-742827-8376142	9694113-6454746-2	9694113-3-8376142	4-343634-2	9694113-3-5582855	9694113-1560876-5582855	2296932-3-2	9694113-6218418-5582855	9694113-3444607-8376142	5087370-139017-0	3769800-1-4
assemblage-447-857	0	0	0	0	25	0	0	0	0	0	0	4	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	13	9	0	87	0	0	0	20	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	201	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	29
assemblage-736-358	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	120	0	0	0	0	48	0	0	0	0	0	14
assemblage-958-360	0	0	0	0	0	0	0	0	0	0	0	0	16	0	31	0	10	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	8	68	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-454-843	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	73	0	0	0	11	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	233	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	11
assemblage-402-993	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	19	11	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	66	0	0	0	0	0	112	0	0	0	0	0	0	12	0	0	0	10
assemblage-866-859	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	71	4	207	0	0	0	0	0	56	0	0	0	0	25	0	0	0	0	0	8
assemblage-985-738	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	19	0	9	0	0	0	0	0	52	0	13
assemblage-801-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	45	0	0	0	0	0	7	0	322	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	55	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	23
assemblage-771-316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	41	0	0	0	0	0	15	0	0	14	0	0	0	0	0	0	123	0	0	14	0	0	226	0	0	10	0	0	0	0	0	13	0	10
assemblage-977-744	0	0	59	0	0	0	0	0	0	8	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	234	38	0	0	0	0	0	0	0	33	0	14
