Assemblage_Name	7471198-292172-5117326	3-4367648-3167521	3-4367648-1722967	19661-9420293-3883568	3-4367648-7425583	4593268-1304602-7251486	2421795-9420293-1	2037661-9420293-8771102	4593268-7354439-1	3-8908217-567712	3-4367648-9464682	4-7003589-1	1633122-9420293-1	7471198-292172-1	28434-4-8199840	5218305-824616-1	4075659-4-1	3-9420293-4595694	3-2711849-9464682	4593268-9420293-4872269	8789719-9420293-1	4593268-9420293-9294411	3-4426612-9464682	28434-7030298-1	4593268-2462697-3299357	2037661-879307-1	4593268-1304602-3299357	3372441-292172-1	2867777-9420293-1	28434-4133178-1	3-9420293-1	4549145-4-1	4593268-1304602-9005584	2037661-9420293-884381	4-4-2446930	2037661-7843728-1	4-4-383098	3-824616-8080673	4-4-1784838	2037661-2014880-1	4593268-1304602-6628723	2037661-2508437-5294812	7471198-292172-4232515	2037661-9420293-5941216	3-9420293-3673754	4-4-3895418	4593268-1304602-2606833	4-3619022-1784838	4593268-9420293-8000959	2688722-9420293-1	6758826-4-1	3-120464-9464682	28434-4-1	2037661-9420293-8968326	28434-1140227-1	4593268-1304602-1	7616376-4-1	28434-1621754-1	2037661-9420293-389884	28434-6937530-1	195450-8477272-9464682	4593268-9854275-485383	3737274-8477272-9464682	3-824616-2668985	4-4-1	4-4-2589651	3-2722307-1	866012-7791842-1	4204497-1304602-3299357	866012-9420293-1	3-9301045-4595694	3908650-4-8199840	3-3368194-9464682	2037661-3157143-1	350315-3966641-1	9208013-4367648-9464682	4593268-9420293-5870913	2037661-9420293-3309386	2037661-9522649-1	2037661-9420293-1	2037661-7442419-1	28434-306249-1	3-824616-1	8723-9420293-1	8825135-9420293-1	3-256009-1	4-3068915-481497	4593268-8334701-3299357	1666762-9420293-1	4272994-4367648-9464682	2549397-4788723-1	4593268-1304602-4235552	4-4-4147171	2037661-9420293-8967344	866012-9644498-1	4-4-1794207	2549397-9420293-1	6411712-4367648-9464682	7186798-292172-1	4593268-1304602-8660887	2037661-9420293-2593032	3-4367648-186174	7902772-4367648-9464682	28434-2290021-1	2549397-7609532-1	195450-4367648-9464682	2037661-8651875-1	28434-4-670876	4-6086563-1784838	2037661-9420293-9227693	2037661-9420293-3883568	195450-8477272-8128140	4593268-9420293-1	1018911-4367648-9464682	6670796-1304602-9005584	4593268-3773917-3299357	4-4-3104322	3-3356514-9464682	2037661-4527373-1	2-4-1	195450-3465561-9464682	2037661-2508437-1	2399212-292172-1	7471198-292172-2492788	3-636503-567712	3949728-256009-1	3-6878378-9464682	4593268-9420293-4217934	2037661-8253535-1	4593268-1304602-5844729	2037661-417289-1	4593268-1304602-3733709	28434-4-3122915	707637-1304602-3299357
assemblage-509-774	0	0	0	0	0	0	0	9	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	13	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-792-426	0	25	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	15
assemblage-947-458	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-970-448	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-781-432	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-789-310	0	0	0	0	0	0	0	0	0	0	53	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-580-593	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	16	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-775-446	0	76	0	0	0	16	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-486-244	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	14	19	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-992-736	0	26	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	16
