Assemblage_Name	8343637-1383050-3	7517656-7393680-6247528	2407420-3434756-510343	2407420-257398-2	6573340-4-3	2407420-1381550-2	935069-4-3	8901395-7393680-6247528	794818-4511031-2362911	5150460-1383050-4127139	7952014-1-2	935069-7210369-3	935069-3150515-6247528	5028442-1019873-2204763	7952014-5074453-2	6341025-7410269-1	1-1383050-3	6436018-1238247-3126119	3516843-1383050-762037	3516843-1383050-3	0-4-8127161	0-9333466-9408121	6436018-3506091-3	935069-7393680-5803400	0-3201808-9408121	3374705-4-4054240	8535294-7393680-6247528	2-4511031-2	7329903-4-3	2-1-2	2407420-9861100-3390728	1-1383050-1086273	8892618-9861100-2	935069-7393680-2204763	1-3-3452079	1-1-3	3292286-1-2	2407420-3434756-5207034	2407420-422131-2	3-3-3	0-4-3	2407420-1-2	0-4-4054240	2937441-3434756-2	4953414-7393680-6247528	2407420-4244774-5760526	1-4458794-1	164713-4-3	1199635-3434756-2	0-4-8085639	1-1383050-1121698	2407420-5351429-2	6436018-1238247-3994529	4608429-1-2	6436018-2596385-3	529064-1-3	2-1504405-2	1-1-9276428	2407420-9861100-2	2407420-3434756-5780987	2407420-9753900-2	2407420-5734542-2	8263221-3434756-6505729	2407420-5257675-2	935069-7393680-3	0-4-8365448	1491897-4-2901041	2407420-348957-2	574808-4-2901041	2407420-1924924-2	935069-7393680-6247528	2407420-1-8606836	3516843-7435146-3	935069-4-108861	1-1238247-3	2407420-4244774-2	4322561-1-2	2407420-2700488-2	0-4-2901041	4505123-1-2	0-4-6446734	2407420-9187036-2	2407420-7091101-2	3401050-1-2	0-4-3249651	1-3-1	6974225-1238247-3	2407420-3434756-9546061	2407420-2821235-2	6436018-1238247-1969064	3516843-6283088-3	2407420-1-4149511	5682697-4-4	3306533-3434756-519714	3-909924-3	1527279-1-2	1-1-7263108	935069-7393680-9749295	0-4-9408121	8263221-3434756-2	9489153-3434756-2	935069-2277182-6247528	3050612-4-9408121	8604455-1383050-3	2407420-529308-2	2407420-3434756-2	0-2112316-3	8168479-1-2	6436018-1238247-3	6436018-6702323-3	1-1-1531502	6436018-1238247-8364512	776084-9993346-2	5041364-1-2	5350283-1-2	2407420-3434756-519714	2407420-1-5626997	776084-1-7973979	2-4511031-2362911	1-1383050-9826619	9460456-1-2	6436018-1238247-6091443	4953414-7393680-4004897	4-4-4	0-2184614-2901041	1648107-1383050-3	6625905-257398-2	3596683-4-9408121	776084-1-2	2407420-8431242-2	8583191-9993346-2	2664499-1383050-3
assemblage-769-313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	27
assemblage-1003-809	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	67	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	75	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	13	0	0	28
assemblage-465-260	0	0	0	0	0	0	43	0	0	0	0	74	0	0	0	0	33	0	0	5	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	31
assemblage-176-154	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	52	0	9	0	0	0	36	0	0	0	0	106	33	63	0	0	0	0	0	0	0	0	0	0	0	0	5	0	38	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
assemblage-386-886	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	76	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	105	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	15	0	0	25
assemblage-1009-805	0	0	0	90	0	0	0	0	0	0	15	0	0	0	0	0	9	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	84	0	0	0	0	16	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	13
assemblage-634-846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	34	0	0	0	0	0	67	0	0	26	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	38
assemblage-777-926	0	0	0	0	0	0	8	0	0	0	0	40	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	92	0	120	0	7	0	0	0	0	0	0	0	0	16	67	14	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	9	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-772-449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	13	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	9	0	0	0	0	37	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	69	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	34
assemblage-985-802	0	0	0	82	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	91	0	0	0	0	37	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	17
assemblage-282-274	0	0	0	0	0	0	0	0	12	40	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	59	0	48	0	0	0	0	17	0	0	0	0	16	103	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-615-860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	18	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	34	0	0	0	10	0	0	0	0	23	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	22
assemblage-224-283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	77	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	13	35
assemblage-285-166	0	0	0	20	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	86	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	22
assemblage-282-184	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	54	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	68	0	0	29
assemblage-648-313	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	74	0	0	107	0	0	0	0	0	0	0	21	0	7	0	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-617-164	0	0	0	105	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	70	0	0	0	0	34	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	23
assemblage-993-573	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	45	0	0	66	0	0	0	0	0	0	0	78	0	29	0	0	0	0	0	0	0	0	0	0	75	25	34	0	0	0	0	0	0	0	0	0	0	0	0	28	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-955-872	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	71	0	0	0	0	30	0	0	6	0	26	0	10	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	53	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	15
assemblage-115-478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	12	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	16	0	0	0	0	151	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	42
assemblage-602-829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	81	0	0	45	0	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	29
assemblage-474-839	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	99	0	0	6	0	0	0	0	14	0	0	0	0	49	134	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-945-434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	12	0	0	0	0	0	44	0	0	0	0	0	78	0	0	28	0	0	0	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	21
assemblage-630-862	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	10	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	112	0	0	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	64	0	0	32
assemblage-392-1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	315	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	54	0	0	15
assemblage-591-603	0	0	0	0	11	0	73	0	0	0	0	60	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	15	6	0	0	0	0	23	0	0	0	0	46	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	58	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-454-277	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	38	0	0	0	0	51	131	38	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-438-254	0	0	0	0	0	0	6	0	0	0	0	12	0	0	0	0	66	0	0	60	0	0	0	0	0	0	0	52	0	41	0	0	0	0	0	0	0	0	0	0	52	14	50	0	0	0	0	0	0	0	0	0	0	0	0	28	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-359-436	0	0	0	0	0	0	6	0	0	0	0	27	0	0	0	0	118	0	0	12	0	0	0	0	0	0	0	34	0	38	0	0	0	0	0	11	0	0	0	0	39	92	33	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-192-834	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	71	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	30
assemblage-986-557	0	0	0	0	0	0	3	0	0	0	0	50	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	57	0	93	0	11	0	0	0	0	0	0	0	0	14	93	20	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	6	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
