Assemblage_Name	4363126-3-2	2-3-8338296	6441670-3-2	5219962-3-4	2-3253914-2	0-4-2659511	0-7070748-4	3-3-5406091	1725925-3-2	0-3157147-4	0-8647199-4	4-5448828-3450281	9456011-8954137-4	7033135-2-3450281	1-8645352-2	2013564-4-4	7405693-9956600-4	0-5237066-4	4007745-4-3027235	7405693-8954137-1366898	3854589-4-4930098	7502991-4372892-4232200	9784565-1049097-4	2-3204267-2	3-2-5642900	4363126-6865945-2	4544868-3-2	2-9712952-2	2-3792762-2	9668214-3-2	2013564-2371518-4	3-3-4	8691226-4-4	5165082-2989059-3450281	1554987-2-3450281	0-4-4	2-3-5348958	4675050-0-0	0-4-7751094	258360-9878449-4	3-3-1323936	7287641-4-4	0-4-6697543	7405693-8954137-4	7405693-8954137-1560210	4719668-8954137-4	9390171-3-8338296	682206-3-2	3414814-4-4	7405693-9263072-4	2-3-4946789	8053559-3-2	1627855-3-2	5193357-3844750-4	4007745-4-4154718	2-3-2	3-3-5073066	0-8954137-2950730	2-3-5367810	8352338-8647199-4	4007745-4-4930098	0-8846655-4	0-7947594-4	1-3-2	0-141306-4	3786474-7029872-4	7405693-8954137-158742	3786474-9767027-4	8721563-8954137-4	5428043-8954137-4	5366099-3-2	0-4-6259526	3-3759514-4	2029889-3-2	1-0-0	0-8954137-7026334	5817388-4-4	0-6520023-4	0-1998000-7751094	4-2-1561475	4-2-3450281	7405693-8954137-9675882	2-7762486-2	0-7766596-4	0-4-5197382	4996163-8954137-4	5366099-6774223-2	1480813-3-2	9784565-4-4	936612-4-4	0-8954137-4	3786474-8772771-4	3786474-4372892-4	3-9587356-4	2-3-2045845	4007745-4-4	9784565-4-451738	0-4-9153716	8721563-8954137-6013205
assemblage-387-549	0	9	0	0	7	0	0	0	10	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	27	0	0	0	0	91	0	0	0	0	0	0	0	44	0	0	0	0	0	6	0	0	0	0	0	115	0	0	0	0	17	0	0	0	0	0	0	5	14	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	56	0	0	0	0	0	53
assemblage-612-665	0	0	0	0	14	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	12	0	0	0	0	100	12	0	0	0	0	0	0	21	0	0	17	0	0	0	0	0	0	0	0	95	0	0	0	0	31	0	0	0	0	0	0	12	21	0	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	32	0	0	0	26	0	0	0	0	0	54
assemblage-432-615	0	0	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	123	0	0	0	0	4	0	0	50	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	10	0	0	14	0	0	0	0	0	0	0	0	0	0	0	7	0	73	0	0	0	0	0	0	0	0	0	49	0	18	0	0	3	0	0	35
assemblage-767-668	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	99	0	0	0	0	17	0	0	58	0	0	0	0	0	0	10	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	50	0	34	0	0	26	0	0	23
assemblage-525-510	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	103	0	0	0	0	8	0	0	53	0	0	0	0	0	0	24	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	46	0	30	0	0	33	0	0	18
assemblage-543-479	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	72	0	0	0	0	0	0	0	53	0	0	0	0	0	13	16	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	49	0	54	0	0	40	0	0	43
assemblage-275-306	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	73	0	0	0	0	0	0	0	51	0	0	0	0	0	10	17	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	0	0	0	0	0	0	32	0	66	0	3	14	0	0	34
assemblage-436-616	13	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	6	0	0	8	5	0	0	7	0	15	11	0	0	0	0	0	0	84	0	0	0	0	0	0	0	54	0	0	10	0	0	0	0	6	0	0	0	52	0	0	0	0	28	0	0	0	0	0	0	11	26	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	10	0	0	0	10	0	59
assemblage-535-590	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	81	0	0	0	0	2	0	0	68	0	0	0	0	0	0	21	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	35	0	34	0	0	36	0	0	27
assemblage-496-517	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	51	0	0	9	55	0	0	0	0	15	0	0	51	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	74	0	0	0	0	0	0	0	0	0	52	0	10	0	0	0	0	0	53
assemblage-511-550	0	0	0	0	0	0	0	10	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	36	0	0	8	38	0	0	0	0	23	0	0	62	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	94	0	0	0	0	0	0	0	0	0	71	0	6	0	0	0	0	0	36
assemblage-565-445	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	82	0	0	0	0	0	0	0	49	0	0	0	0	0	30	11	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	28	0	49	0	3	31	0	0	24
assemblage-392-520	10	0	0	0	0	0	0	0	0	7	31	0	0	0	0	0	0	0	6	0	0	10	6	0	0	5	0	9	0	0	0	0	0	0	0	88	0	0	0	7	0	0	0	55	0	0	17	0	0	0	0	15	0	0	2	50	0	0	0	0	32	0	7	0	0	0	0	17	29	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	4	0	0	0	0	0	56
assemblage-529-483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	90	0	29	6	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	25	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	41
assemblage-530-503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	96	0	13	3	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	20	0	0	0	0	0	0	32	0	0	0	7	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	59
assemblage-663-385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	37	0	0	0	88	0	21	10	0	0	0	0	18	0	0	0	11	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	28	0	0	0	0	0	0	31	0	0	0	6	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	44
assemblage-548-384	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	15	36	0	0	0	43	0	0	0	0	11	0	0	33	0	0	0	0	0	0	0	0	0	0	0	36	9	0	0	0	0	0	0	33	0	0	0	0	0	0	14	0	0	0	0	0	0	0	13	5	106	0	0	0	0	0	10	0	0	0	89	0	0	0	0	0	0	0	32
assemblage-499-650	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	121	0	0	0	0	8	0	0	64	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	56	0	30	0	0	12	0	0	39
assemblage-291-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	100	0	18	8	0	0	0	0	15	0	0	0	6	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	31	0	0	0	0	0	0	50	0	0	0	10	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	33
assemblage-436-466	0	14	0	0	8	0	0	0	11	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	62	12	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	13	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0	0	0	0	0	5	0	77	0	0	12	0	0	54
assemblage-502-519	9	0	0	0	0	0	10	0	0	0	32	0	0	0	0	0	0	0	5	0	0	14	13	0	0	5	0	6	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	45	0	0	14	0	0	0	0	8	0	0	0	47	0	0	0	0	29	0	4	0	0	0	0	23	34	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	6	0	0	0	5	0	47
assemblage-529-551	11	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	12	13	0	0	7	0	5	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	47	0	0	8	0	0	0	0	10	0	0	0	51	0	0	0	0	32	0	9	0	0	0	0	26	36	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	15	0	0	0	3	0	56
assemblage-472-658	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	23	44	0	0	0	33	0	0	6	0	9	0	0	52	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	37	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	12	106	0	0	0	0	0	7	0	0	0	87	0	0	0	0	0	0	0	37
assemblage-521-552	0	4	0	0	0	0	9	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	19	0	0	0	0	113	11	0	0	0	0	0	0	16	0	0	9	0	0	0	0	0	0	0	0	100	0	0	0	0	38	0	0	0	0	0	0	3	18	0	0	0	0	7	0	0	0	0	0	0	8	0	0	0	0	0	0	0	38	0	0	0	20	0	0	0	0	0	48
assemblage-507-435	0	7	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	3	0	0	10	0	0	0	0	98	11	0	0	0	0	0	0	31	0	0	21	0	0	0	0	0	0	0	0	87	0	0	0	0	34	0	0	0	0	0	0	8	12	0	0	0	0	6	0	0	0	0	0	0	10	0	0	0	0	0	0	0	35	0	0	0	30	0	0	0	0	0	47
assemblage-521-555	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	30	0	0	0	36	0	0	0	0	9	0	0	43	0	0	0	0	0	0	0	0	0	0	0	36	3	0	0	0	0	0	0	30	0	0	0	0	0	0	12	0	10	0	0	0	0	0	11	5	115	0	0	0	0	0	4	0	0	0	97	0	0	0	0	0	0	0	33
assemblage-444-561	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	112	0	0	0	0	7	0	0	54	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	53	0	25	0	0	7	0	0	28
assemblage-463-336	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	12	32	0	0	0	44	0	0	0	0	8	0	0	45	0	0	0	0	0	0	0	0	0	0	0	36	6	0	0	0	0	0	0	27	0	0	0	0	0	0	13	0	0	0	0	0	0	0	4	12	120	0	0	0	0	0	11	0	0	0	78	0	0	0	0	0	0	0	31
assemblage-384-352	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	19	38	0	0	0	34	0	12	0	0	6	0	0	21	0	0	0	0	0	0	0	0	0	0	0	24	8	0	0	0	0	0	0	29	0	0	0	0	0	0	17	0	0	0	0	0	0	0	10	16	96	0	0	0	0	0	8	0	0	0	90	0	0	0	0	0	0	0	32
assemblage-527-523	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	129	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	3	0	0	50	0	0	0	5	0	0	0	0	0	56	0	18	0	0	5	0	0	34
assemblage-432-479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	107	0	0	0	0	6	0	0	59	0	0	0	0	0	0	33	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	25	0	0	40	0	0	23
assemblage-544-611	6	0	0	0	0	0	0	0	0	3	28	0	0	0	0	0	0	0	10	0	0	15	16	0	0	5	0	14	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	53	0	0	10	0	0	0	0	8	0	0	0	59	0	0	0	0	26	0	6	0	0	0	0	20	33	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	6	0	0	0	4	0	47
assemblage-550-465	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	7	0	12	0	0	0	0	0	0	0	0	0	0	0	0	11	23	0	0	0	35	0	0	0	0	13	0	0	52	0	0	0	0	0	0	0	0	0	0	0	34	8	0	0	0	0	0	0	42	0	0	0	0	0	0	7	0	11	0	0	0	0	0	6	10	79	0	0	0	0	0	13	0	0	0	85	0	0	0	0	0	0	0	34
assemblage-478-546	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	121	0	0	0	0	15	0	0	55	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	15	0	0	16	0	0	0	0	0	0	0	0	0	0	0	5	0	76	0	0	0	0	0	0	0	0	0	46	0	18	0	0	0	0	0	43
