Assemblage_Name	2-2868464-0	3334519-3-6583487	591085-3-7687979	2-4-944367	3387575-3-0	2171709-4-4	3-1-1	6690248-4-4323475	0-3802564-0	6690248-1684119-6203179	6690248-4-7397968	6690248-4-2	2-4-8675704	196116-4-7397488	262884-3-7687979	9966828-3-9764935	5500215-4-7501264	0-5439944-0	8098215-4-7397488	5286544-0-3	4-1830476-3	2564925-0-4751432	0-871089-0	4359799-4-4	260539-4-2	0-4-2	5513236-4-7397488	8511820-1-1	9476987-0-0	3334519-7708364-0	3334519-3-8246647	0-3-770454	4407389-4-4	2-4-9536064	4-0-9286420	2-5844722-0	2-0-0	0-3600479-0	0-3-0	3-1-7246196	126469-0-0	5500215-4-2	5671639-1-1730157	2-4-7021305	3747969-3-3	2-5922847-148946	2-4-1910252	3334519-2242214-0	2-4-1750298	2-9647367-0	1-3-7687979	5671639-1-1	2403504-4-2	8854338-4-4	1-3-2543661	2-9142920-4	6690248-3584389-6203179	6935400-1-1	5160504-0-0	5671639-1-7786448	5671639-1-2372850	348820-3-0	1-3-3	0-2-3454453	7693441-4-4	1-3-5741454	5500215-4-7397488	0-4836616-0	8135503-4-2	0-2-4	6690248-4-6203179	2-4-9523066	6608838-3-150812	9733990-4-9656703	3500984-3-2543661	3334519-3-3431795	9733990-4-4	6209585-4-6203179	8728641-4-9720976	4-0-3	1-7405205-3	5500215-4-656607	2-1385578-4	1-3-4	5500215-5663814-7397488	2-4-4	3334519-5913771-0	3334519-3-0	1-3-3139491	1821898-1-1	8055589-0-0	1575557-3-0	3334519-8872341-0	2564925-0-0	2903639-3-0	7778027-3-2543661
assemblage-480-528	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	0	0	31	0	68	0	0	81	0	0	0	8	0	0	0	0	0	38	0	0	0	7	0	0	0	0	0	0	14	0	0	9	12	0	0	0	16	0	0	0	0	0	0	0	0	65	0	0	0	0	0	63	0	42	0	0	0	0	0	0	0	29
assemblage-558-490	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	11	24	0	43	0	12	35	0	0	0	30	0	0	0	0	0	27	0	0	0	4	0	0	0	0	3	0	27	0	0	0	27	0	0	0	8	0	0	0	0	0	0	0	3	11	0	0	0	0	0	100	0	74	0	0	0	0	0	0	0	28
assemblage-488-656	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	3	32	0	57	0	9	34	0	0	0	22	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	31	0	0	0	21	0	0	0	13	0	0	0	0	0	0	0	6	18	0	0	0	0	0	94	0	66	0	0	0	0	0	0	0	35
assemblage-373-631	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	8	27	0	58	0	11	27	0	0	0	20	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	20	0	0	2	42	0	0	0	12	0	0	0	0	0	0	0	13	14	0	0	0	0	0	80	0	71	0	0	0	0	0	0	0	32
assemblage-685-459	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	9	0	0	59	0	34	19	0	0	0	11	0	0	0	0	11	25	0	0	0	0	0	0	0	0	0	0	18	0	0	8	38	0	0	0	19	0	3	0	0	0	0	0	0	9	0	0	0	0	0	69	0	100	0	0	0	7	0	10	0	27
assemblage-386-549	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	44	0	22	16	0	0	0	18	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	27	0	0	16	34	0	0	0	24	0	0	0	0	0	0	0	0	10	0	0	0	0	0	98	0	97	0	0	0	7	0	4	0	32
assemblage-619-552	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	39	0	35	22	0	0	0	17	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	19	0	0	18	54	0	0	0	21	0	0	0	0	0	0	0	0	8	0	0	0	0	0	82	0	90	0	0	0	3	0	6	0	26
assemblage-402-587	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	0	17	0	0	0	0	0	0	0	0	14	0	0	0	0	0	53	0	20	7	0	0	0	0	0	0	0	0	8	48	0	0	5	0	0	0	0	0	0	0	11	0	0	21	51	0	0	0	32	0	0	0	0	0	0	0	0	1	0	0	10	0	0	65	0	98	0	0	0	0	0	8	0	20
assemblage-589-392	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	0	16	0	0	0	0	0	0	0	0	7	0	0	0	0	0	44	0	26	6	0	0	0	0	0	0	0	0	5	37	0	0	13	0	0	0	0	0	0	0	6	0	0	10	62	0	0	0	31	0	0	0	0	6	0	5	0	0	0	0	9	0	0	46	0	104	0	0	0	0	0	9	0	42
assemblage-417-539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	13	0	0	0	0	0	41	0	18	14	0	0	0	0	0	0	0	0	10	35	0	0	6	0	0	0	0	0	0	0	0	0	0	10	65	0	0	0	22	0	0	0	0	11	0	6	0	0	0	0	5	0	0	50	0	118	0	0	0	0	0	12	0	56
assemblage-681-571	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	20	0	0	0	0	0	22	0	0	5	0	0	0	0	0	0	0	0	23	54	0	0	8	0	7	0	0	0	0	0	0	0	0	9	78	0	0	0	19	0	0	0	0	0	0	18	0	0	0	0	12	0	0	35	0	143	0	0	0	0	4	9	0	25
assemblage-415-593	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	12	79	0	0	9	0	13	0	0	0	0	0	0	0	0	7	64	0	0	0	21	0	0	0	0	0	0	11	0	0	0	0	7	0	0	38	0	132	0	0	0	0	9	4	0	45
assemblage-457-385	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	18	64	0	0	0	0	11	0	0	0	0	0	0	0	0	6	80	0	0	0	47	0	0	0	0	0	0	12	0	0	0	0	8	0	0	32	0	120	0	0	0	0	6	14	0	45
assemblage-414-450	0	0	0	0	12	0	0	0	0	0	0	0	15	0	0	0	5	0	6	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	31	0	0	19	0	0	0	0	0	0	0	0	23	75	0	0	17	0	3	0	0	0	0	0	0	0	0	6	60	0	0	0	7	0	0	0	50	0	0	0	0	0	0	0	0	0	0	13	0	76	0	0	0	0	18	0	0	52
assemblage-382-587	0	0	0	0	9	0	0	0	0	0	0	0	20	0	0	0	4	0	8	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	30	0	0	21	0	0	0	0	0	0	0	0	20	71	0	0	22	0	6	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	22	0	0	6	0	0	0	0	10	0	0	13	0	89	0	0	0	0	14	2	0	53
assemblage-591-544	0	0	0	0	10	0	0	0	0	0	0	0	12	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	24	0	0	10	0	0	0	0	0	0	0	0	22	73	0	0	26	0	9	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	31	0	0	6	0	0	0	0	3	0	0	9	0	83	0	0	0	0	16	9	0	61
