Assemblage_Name	7331787-9437906-5618134	0-1-2728887	2625495-1-5601131	0-1-4222711	0-974069-3	3057912-4896230-4	6398650-4260671-5051009	0-1-4732635	6167436-1-5601131	3057912-4896230-8884434	6398650-1-3	7331787-9437906-5370902	9959780-1-7803064	3057912-8591311-4	8393462-1-5601131	602166-1-3	0-4818949-6972757	0-2696675-4	3057912-6255-4	3-4-9788332	975224-4-3	3-9459879-3	4-3597431-0	4230492-1-3	3761695-4-4	0-1391069-3	0-4-4	0-1259377-3	2616939-1-3	7207564-4973896-2	0-1-3	0-2007087-3	3057912-5365268-4	0-2696675-8850800	6398650-4260671-3	6074209-1-3	0-9437906-5618134	0-4896230-4	4-5404745-4	0-1-9341684	8284509-4-6972757	0-9999074-3	0-3628458-5583335	0-9437906-4659995	6398650-3977221-3	9646874-8591311-4	0-9437906-4	9959780-1-5601131	7168821-3-0	6074209-1-1847895	0-4-8626505	0-2-3	4395834-1-3	7331787-1193013-5370902	1951731-1-3	7128016-4-3	4598959-1045261-3	0-2529758-3	3057912-7987929-4	4598959-1045261-3294223	0-3628458-3	3792328-1-3	3-4-3	6398650-4003576-3	6074209-1782625-3	0-4-6972757	3-3-2	0-3351640-3	3-6639941-3	6074209-1-1716439	6074209-1-2361698	3057912-4240925-4	3548957-4-9788332	3057912-8650264-4	2873775-1-3	6074209-1-1418581	5972225-2696675-4	4598959-2-3	4-9985702-0	0-1-127957	0-3676126-3	567623-4896230-4	4-0-4	0-6181148-291638	0-1748336-3	3876158-4260671-3	3-4-3731139	4-3-0	7128016-4-953810	1506304-4-9788332	7207564-1-2	7510104-4896230-4	0-4896230-291638	6074209-1-8331502	3-4-2455108	6074209-9190029-3	0-4-6891185	6074209-1-9061556	7331787-9451240-5370902	3057912-9583627-4	9959780-3339320-5601131	9003621-1-3	6074209-5462196-3	0-5527126-6972757
assemblage-720-545	0	0	0	13	0	11	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	36	0	0	0	68	0	0	0	0	59	12	43	3	0	0	0	0	9	0	0	43	0	0	0	0	38	0	0	0	0	0	0	0	0	4	0	20	0	0	0	0	0	15	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	15	0	0	22	0	0	0	0	0	7	0	0	0	0	0	0	29
assemblage-470-601	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	39	0	0	0	59	0	0	2	0	91	16	34	9	0	0	0	0	16	0	0	45	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	21	0	0	0	7	0	13	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	18	0	0	17	0	0	0	0	0	6	0	0	0	0	0	0	23
assemblage-401-535	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	29	0	0	0	48	0	0	0	0	70	7	40	0	0	0	0	0	9	0	0	52	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	23	0	0	0	0	0	0	0	0	14	0	0	0	0	5	0	0	0	0	17	0	0	27	0	0	0	0	0	11	0	0	0	0	0	0	32
assemblage-363-465	0	0	0	26	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	59	0	0	0	0	40	10	35	9	0	0	0	0	0	0	0	22	0	0	0	0	36	0	0	0	0	5	0	0	0	16	0	23	0	0	26	0	0	0	0	5	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	7	23	0	0	43	0	0	0	0	0	14	0	0	0	0	0	0	38
assemblage-497-346	0	0	0	18	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	61	0	0	0	0	35	12	36	0	0	0	0	0	10	0	0	19	0	0	0	0	27	0	0	0	0	0	0	0	0	13	0	40	0	0	16	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0	0	0	0	29	0	0	43	0	0	0	0	0	10	0	0	0	0	0	0	51
assemblage-363-547	0	0	0	23	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	6	40	0	0	0	0	67	11	40	4	0	0	0	0	7	0	0	26	0	0	0	0	24	0	0	0	0	7	0	0	0	16	0	31	0	0	18	0	0	0	0	10	0	0	0	0	0	7	13	0	0	0	0	0	0	0	0	5	18	0	0	33	0	0	0	0	0	14	0	0	0	0	0	0	31
assemblage-419-619	0	0	0	28	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	39	0	0	0	0	41	26	47	0	0	0	0	0	8	0	0	13	0	0	0	0	12	0	0	0	0	8	0	0	0	29	0	32	0	9	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	5	0	0	0	0	3	16	0	0	0	0	0	0	47
assemblage-446-389	0	0	0	22	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	56	0	0	0	0	29	28	33	0	0	0	0	0	4	0	0	15	0	0	0	0	10	0	0	0	0	6	0	0	0	22	0	28	0	10	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	12	0	3	0	0	0	0	8	14	0	0	0	0	0	0	53
assemblage-411-672	0	0	0	34	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	10	0	66	0	0	0	0	26	22	31	0	0	0	0	0	6	0	0	10	0	0	0	0	24	0	0	0	0	12	0	0	0	30	0	28	0	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	13	0	11	0	2	0	0	4	15	0	0	0	0	0	0	34
assemblage-417-583	11	0	0	18	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	52	0	0	0	0	44	8	19	0	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	0	13	0	0	23	0	30	0	15	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	5	0	0	0	37	0	0	0	0	0	0	55
