Assemblage_Name	2-2-2339578	2680599-9224535-4	5751641-3474753-0	7377441-876991-8115155	7377441-2-3541119	2-4-9745043	4-4-7742467	2-3802962-2	2-749421-300236	2-8784596-2	2-2025318-2339578	5643631-3798369-4	2-4-9866512	7377441-2-2	4383392-2-7987644	6454859-4-4	1-4-7594692	7377441-2-8129483	2-2-3261148	1183282-2-0	2-8261423-4	3-3-4	3372665-4-9783571	7377441-2-348121	9255270-2-8137741	1-5140048-4	4853735-1753474-0	5368296-4-4	8218091-2-6829144	4667595-7366617-4	100408-5071159-0	2-9579775-2	4-5163137-7742467	7377441-876991-6415318	100408-2-1180741	5255370-2-3054432	978140-2-8137741	43105-2-8137741	3030472-4-9783571	9201684-3798369-4	4-9931946-9950249	6315688-4-6536543	1-4-352663	1-7890912-4	1622121-4-6536543	7377441-2-6829144	9398781-2-8398774	7377441-8553107-6829144	2-1214309-4119311	2-2-8093144	3021901-4-4	1-1404158-4	594812-2-8137741	7841180-2-2	2680599-5895176-4	818129-2-1180741	9255270-2-2	1-8975449-4	2-2-2	2680599-4-4	7377441-2-7459198	7377441-2134763-6632784	9938018-2-0	6237680-2134763-6829144	2-1144022-4	7377441-2134763-6829144	3-3-8906225	5368296-4-1642857	7301137-2-6829144	100408-1170551-0	4619320-4-9783571	9201684-3798369-6606320	2-9341275-2339578	7377441-2134763-566703	100408-691131-0	7980315-4-4	4667595-1404158-4	3-4-9783571	5255370-2-3541119	1-1223505-4	100408-2-0	4-4-9988596	7377441-42571-6829144	4-8950572-7742467	1958813-2-0	9201684-4-4	1699786-2-6934159	4-3083782-9950249	100408-8635429-0	1-4-4	6454859-4-1942552	2-4-2714565	2-4-8458306	7377441-876991-7459198	4-4-9950249	2071026-2-8137741	2-2-8128516	4-4-5018499	3-6013071-9783571	4488977-4-4	8625923-8261423-4	7377441-2351789-6829144	1907460-2-8137741	2-2-6934159	2-1214309-4	7377441-2-6608773	2167577-2-2	7770864-4-7742467	2-4-4	9398781-2-2	4-4-6536543	3-0-3	8873807-4-7742467	4-4-5472307	100408-2-3489626	7377441-2134763-6358326	4-4-8467493	4383392-2-2	7377441-3450899-7459198	7634463-4-7742467	7377441-8471345-6829144	5751641-3474753-9033924
assemblage-557-617	0	0	0	0	0	0	61	0	0	0	0	0	0	10	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	0	0	0	19	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	31	0	0	9	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	11	0	0	0	24	0	0	0	0	38	0	0	19	0	0	0	0	0	35	0	0	0	43
assemblage-540-375	0	0	0	0	0	0	72	0	0	0	0	0	0	5	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	9	0	0	0	16	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	0	0	20	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	36	0	0	36	0	0	0	0	0	48	0	0	0	52
assemblage-616-507	0	0	0	0	0	0	79	0	0	0	0	0	0	11	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	15	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	45	0	0	16	0	0	0	0	0	38	0	0	0	43
assemblage-462-687	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	0	0	0	13	9	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	8	42	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	51	0	0	0	0	0	0	0	0	35	0	18	9	34
assemblage-478-474	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	53	0	0	0	13	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	35	5	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	55	0	0	6	0	0	0	0	0	21	0	10	9	61
assemblage-645-556	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	39	0	0	0	12	7	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	37	0	0	5	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	27	8	0	0	0	73	0	0	0	0	0	0	0	0	21	0	21	9	48
assemblage-582-490	0	0	0	0	0	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	6	0	0	0	0	0	0	5	41	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	44	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	6	0	0	81	9	0	0	0	0	0	0	0	16	0	27	0	77
assemblage-499-459	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	11	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	30	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	9	0	0	78	14	0	0	0	0	0	0	7	20	0	30	0	71
assemblage-591-436	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	26	0	0	0	0	0	0	0	56	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	64	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	9	0	6	71	12	0	0	0	0	0	0	4	13	0	21	0	54
assemblage-550-679	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	8	0	0	0	9	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	43	0	0	0	0	56	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	21	0	0	77	0	0	0	0	0	7	0	0	21	0	0	0	0	8	0	0	0	0	0	0	0	0	9	0	37	4	0	51	0	0	0	0	0	0	0	0	20	0	13	0	56
assemblage-474-577	0	0	0	0	8	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	45	0	0	0	0	44	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	15	0	0	69	0	0	0	0	0	9	0	0	21	0	0	0	0	9	0	0	0	0	0	0	0	0	4	0	21	9	0	83	0	0	0	0	0	0	0	0	15	0	14	0	53
assemblage-653-581	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	54	0	0	0	0	22	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	22	0	0	66	0	0	0	0	0	12	0	0	20	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	22	9	0	72	0	0	0	0	0	0	0	0	27	0	25	0	72
assemblage-407-612	0	0	0	0	43	0	0	0	16	0	0	0	0	0	8	0	0	0	0	0	21	0	0	0	0	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	14	0	8	0	0	34	0	0	12	0	28	4	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	8	0	0	58	0	4	0	0	0	9	0	0	31	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	30	6	0	39	0	0	0	0	0	0	0	0	12	0	9	0	31
assemblage-702-733	0	0	0	0	24	0	0	0	5	0	3	0	0	0	8	0	0	0	0	0	24	0	0	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0	0	0	25	0	6	0	0	33	0	0	10	0	32	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	6	0	0	67	0	0	0	0	0	13	0	0	32	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	28	7	0	54	0	0	0	0	0	0	0	0	6	0	7	0	37
assemblage-499-650	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	5	19	0	0	0	0	0	0	0	0	0	0	0	0	18	0	5	0	0	53	0	0	12	0	26	0	0	0	0	0	4	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	9	0	0	53	0	10	0	0	0	6	0	0	26	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	33	6	0	55	0	0	0	0	0	0	0	0	8	0	10	0	33
assemblage-615-470	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	49	0	0	13	0	0	14	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	14	0	0	84	0	11	0	0	0	0	0	0	46	0	14	0	0	0	0	0	0	0	0	16	0	0	0	0	7	0	0	65	0	0	0	0	0	15	0	0	0	0	2	0	48
assemblage-509-331	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	36	0	0	30	0	6	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	13	0	0	90	0	6	0	0	0	4	0	0	30	0	11	0	0	6	0	0	0	0	0	11	0	0	0	0	7	0	0	52	0	0	0	0	0	19	0	0	0	0	6	0	60
assemblage-645-438	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	26	0	0	0	0	0	0	0	0	0	10	0	0	18	0	0	0	0	42	0	0	25	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	16	0	0	77	0	13	0	0	0	0	0	0	30	0	11	0	0	13	0	0	0	0	0	9	0	0	0	0	6	0	0	42	0	0	0	0	0	13	0	0	0	0	0	0	56
assemblage-520-525	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	33	0	0	22	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	7	19	0	0	17	0	0	14	0	0	0	0	7	0	0	0	13	0	0	0	0	14	0	0	0	0	0	0	0	0	6	0	0	39	0	0	91	0	0	0	8	0	0	0	0	46	0	11	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	30	0	6	0	0	0	15	0	0	6	0	0	0	49
