Assemblage_Name	2705107-4-2	2-6810477-3	689884-6785145-0	9553189-8141771-2040716	4-3-4603731	4-4966559-4348417	4-3-1406808	9763466-4-2	4-1666091-5543436	4-1-4839763	4-1-9938231	4-1871358-0	3958873-3-1406808	4-3-5260470	412493-3-4348417	4-6595943-4348417	3-1-1659662	3-1264716-1	3-1-1	4290451-4217285-3	5906825-670589-1406808	4649608-1-0	4-7918191-1406808	4-670589-1406808	3-3-4903526	8168216-670589-2678991	8168216-178122-1406808	8168216-670589-1406808	1675745-6501132-1406808	4-1507710-1406808	4-3-8520830	3-1-1430857	5706635-7894219-1406808	4-8823249-4348417	4-5768025-1406808	8220734-1-0	8992506-3-1406808	4-5991310-6442575	4-2176856-9788450	4-248587-1406808	6038855-6501132-1406808	6870657-4-2	4-1-4858196	2378738-670589-1406808	5706635-3-6739826	3-5989852-5126139	4-1666091-4348417	8168216-3341539-1406808	5706635-3-1406808	9842957-4217285-3	7574230-2176856-1323112	7469484-6810477-3	4-7834438-4348417	4957727-1-0	5341854-670589-1406808	8168216-1330712-1406808	1675745-670589-1406808	5941695-2176856-1323112	6656403-4177258-1406808	4-3153817-1323112	2-0-4	4-2176786-1406808	4-3990160-1323112	4-3161354-1406808	9553189-3084664-2040716	4-2176856-3579541	6825130-670589-1406808	3-2746062-1	4114951-670589-1406808	3763597-1666091-4348417	4-670589-6379711	4-1-382491	3-5786060-1	7658480-1-0	8168216-670589-6788687	3-6248804-1	9368082-2-124866	3881883-1-0	4-3084664-4348417	4-6503811-1323112	4-8916230-0	4-1-2596273	9763466-1957975-2	832206-1-0	4028094-2176856-1323112	4-2176856-1323112	8168216-7788509-1406808	4-9571744-1406808	8168216-405282-1406808	3-5989852-8106915	2732886-670589-1406808	4-3-4145048	4068071-4-2	1-4-335366	7889678-670589-1406808	4-4177258-1406808	8168216-670589-1204196	4-2387711-1406808	4-1005252-1406808	1-4-2	2-4217285-3	2538480-670589-1406808	3-1005576-1	4-1-8358914	3-1-9925626	4-1-2489425	3-1-9001999	4-7937017-1406808	4-1-0	4-1507710-2426175	8168216-670589-1359473	3-1-5126139	6211330-1-560838	4296982-1-1	5706635-3-2912980	5706635-2666469-1406808	3-437140-2	9960845-4-2	4-3-4348417	3-437140-5315059	4114951-8441964-1406808	1-8861845-2	4-3153817-5358942	4-670589-1153871	4-1056375-0	1426435-3-1406808	4-2176856-7243112	689884-1-0	3-0-1	7447219-670589-1406808	1353719-4-2	6582495-670589-7949142	4-6265935-4348417	4-695807-1406808	4-2176856-9819257	1581306-3-1406808
assemblage-607-536	0	16	0	0	0	0	56	52	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	6	0	0	0	0	0	40	14	0	7	0	0	0	0	0	101	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	5	0	0	0	0	6	0	45
assemblage-616-507	11	11	0	0	0	0	57	49	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	44	14	0	9	0	0	0	0	0	67	0	0	0	22	0	0	0	0	0	13	0	0	0	0	0	0	0	0	46	6	0	0	0	0	14	0	50
assemblage-340-370	13	8	0	0	0	0	63	51	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	13	0	0	0	0	0	48	16	0	8	0	0	0	0	0	55	0	0	0	28	0	0	0	0	0	12	0	0	0	0	0	0	0	0	32	17	0	0	0	0	11	0	32
assemblage-463-336	0	0	0	0	5	0	89	28	0	0	0	0	21	0	0	0	0	0	82	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	14	0	0	0	0	0	18	0	0	0	0	0	0	0	0	23	6	0	6	0	0	0	0	54
assemblage-673-568	0	0	0	0	0	0	61	56	0	7	0	0	16	0	0	0	0	0	62	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	86	0	0	0	19	0	0	0	0	0	9	0	0	0	0	0	0	0	0	29	17	0	0	0	0	0	0	29
assemblage-575-668	0	0	0	0	0	0	82	43	0	0	0	0	18	0	0	0	0	0	80	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	81	0	0	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	21	10	0	0	0	0	0	0	36
assemblage-779-734	0	0	0	0	0	0	70	16	0	0	0	0	16	0	0	0	0	1	62	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	37
assemblage-362-460	0	0	0	0	0	0	54	12	0	0	0	0	15	0	0	0	0	0	59	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	140	0	0	6	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	36
assemblage-676-543	0	0	0	0	0	0	73	20	0	0	0	0	7	0	0	0	0	0	61	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	158	0	0	0	8	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
assemblage-471-550	0	0	0	0	0	0	39	0	0	0	0	0	13	0	0	0	0	0	14	0	0	0	0	109	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	90	0	0	0	0	0	16	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
