Assemblage_Name	4217991-0-1	1-4-1628436	1-4-4599247	5261338-3-7160049	3409934-9400874-4	9233187-0-3	4-5407497-4	9009230-3-4	5770143-4-4599247	7090369-3-473078	1-4340417-4599247	4-4-5487266	7090369-3-7160049	3-1562748-0	9009230-7982133-4	1372007-0-0	1-1451570-3	1-4-8906781	1-5157135-3	269753-4340417-4599247	6722814-0-1	2052476-2745486-1	4-0-1	7146512-4-4599247	6724243-4-4599247	4-4-4811983	1-6553353-3	1899562-4-3	6351427-4-4599247	9009230-2069725-4	7637862-3-7160049	0-0-3	9009230-3-1201520	9755896-3-4	1-4-9683468	9779632-0-1	3-0-6041057	1-1550519-4599247	4-2745486-1	405105-4-3	2163539-4-4599247	9379771-2745486-1	3-0-0	1-3680766-4599247	7090369-2102102-4	4-4-3	7097518-3-4	1-7675538-8906781	1-4-9462329	4-3-4748235	3-0-4633845	7090369-99464-7160049	4-9412787-1	7090369-3844742-4	4-1985073-3	4-3-7404466	6089899-3-4	1-4-3	3409934-3-4	4-1717800-1	405105-4-1568730	1-4-8696827	1-5771701-4599247	7090369-8539360-4	4-3-4	7090369-3-4	3-1529397-0	3-2-1	1-4-583425	1-4-3632752	1-4-3098202	9009230-9925556-4	6850188-3-4
assemblage-379-593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	97	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	58	0	0	0	0	0	0	17
assemblage-580-593	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	5	0	88	0	0	0	0	0	0	0	0	54	0	0	0	0	14	0	0	27	0	0	34	0	0	86	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	149	10	0	0	0	0	0	0	9
assemblage-441-260	0	0	190	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	11	0	0	70	0	0	20	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	22	32	0	0	0	0	0	0	24
assemblage-786-950	0	0	0	0	0	0	0	159	0	0	0	0	71	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	14	57	0	0	0	0	0	0	3
assemblage-730-369	0	0	104	0	0	0	0	109	0	0	0	0	29	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	10	0	0	0	0	0	0	73	0	0	0	0	0	0	0	43	0	0	0	0	0	0	8
assemblage-748-241	0	0	93	8	0	0	15	134	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	23	0	55	0	0	0	21	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6
assemblage-753-311	0	0	155	0	0	0	0	41	0	0	0	0	149	0	0	0	0	33	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-644-161	0	0	207	0	0	0	0	50	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-517-758	0	0	165	0	0	0	0	93	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	72	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-630-862	0	0	87	0	0	0	0	66	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4
