Assemblage_Name	3-8286261-7237000	3-4-5812656	3-3787974-4	3-0-628430	4-4788464-1	701098-6395158-4	3-1048773-7237000	485134-1-1	3-0-7830108	0-5251434-8921280	3-3421910-4	3-3-3	3-9209010-6826386	4665296-4-7237000	0-5251434-2092636	6460766-0-4	4-1-1	3-2152631-3	4-1-8832497	4093129-1700013-1	3-0-8285361	3-6311768-4	8937580-1048773-7237000	3-9185604-7237000	5240897-0-4	3-5399418-7237000	7371090-0-4	0-5251434-2	3-4-3928737	3992699-4-7237000	4-1-3842553	3-4-9644788	868531-1-1	4093129-1-3103066	3-5417526-7830108	3-5913497-7237000	1-4-9438916	7014767-7778763-7237000	3-4507975-7237000	3-0-9291756	3-700812-4	3-4-7237000	4865025-4-7237000	3-0-8523409	3604675-4-7237000	3-0-8287005	0-2-2	3-4-37670	3538598-5265732-1	3604675-7778763-7237000	2956549-5265732-1	3-9209010-7237000	3-4801886-7237000	2978706-1-1	3-0-8058279	3-6086134-7237000	3-7246809-4	2039541-5265732-1	3-0-4669874	3-8496497-4	0-5251434-5418568	3-765895-7237000	701098-0-4	3-4-5752034	3-0-4	3-4-786962	8991909-4-7237000	4-5265732-1	2801395-0-4	8616196-4-7237000	1066739-2-2774847	3-0-1255301	3-3651576-4	7128163-0-4	1-4-3	3117038-1-1	1-4-3028765	3-4-7333306	4-1-5295268	4093129-1-1	4865025-9275632-7237000	6797884-0-4	3-4895328-4	3-0-8807315	3-9067050-7237000	3-2-3	3-0-8196531	3604675-7778763-9765309	8197649-0-4	2301498-4-7237000	4-1-828392	1576731-1-1	3-0-4204850	1228182-0-628430
assemblage-958-360	0	0	0	0	0	0	0	0	0	166	0	26	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12
assemblage-819-111	0	0	0	0	0	0	8	0	0	23	0	0	0	0	76	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	78	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-779-920	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	70	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-645-340	0	0	0	0	0	0	6	0	0	10	0	0	8	0	0	0	79	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	6	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-762-377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-524-564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9	265	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-489-327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-607-790	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	7	0	52	0	0	0	0	0	0	0	0	0	0	0	3	0	0	317	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-494-764	19	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	71	32	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-979-731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	6	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
