Assemblage_Name	5922308-2-0	1952771-0-3517591	3-1-9770952	4-1833084-3	5123432-1-2	7053654-1-2	4-8119388-3	9013547-0-0	7404370-1-6655195	9946467-0-0	0-1583940-0	3-1-2	1-0-3517591	3-9431246-6655195	3-7636999-6655195	3-1-6655195	1-439434-0	4-6421919-3	4-6371639-3076	4-6371639-3	3-1972865-6655195	7107874-0-0	4-6421919-2844208	4934559-0-4029588	1081188-2-2	1-0-5666916	7734606-8834812-1	5705823-4-0	0-3210061-0	2995925-1-2	3-1-8194161	0-4-0	6483839-1833084-3	8824714-2-0	1750699-6421919-3	2074730-1-3	3-1-7559570	4-2171893-3	4571764-0-0	9690324-0-0	3-3321706-2	4934559-2529994-2418293	4934559-3605320-0	0-4-4269307	0-7526676-9419867	9038052-1-6655195	4934559-0-0	3-9983930-1	3-1-1656483	4934559-0-3633036	0-2-7823597	4-3857026-3	0-7526676-0	4934559-0-2418293	5672670-1833084-8540728	0-7526676-606065	3-8834812-6718097	3-8834812-1	0-2-0	1-1898204-0	1081188-4838241-2	3-1-6980294	4121901-0-0	0-7526676-3495142	152918-2-0	4934559-2971228-0	4064590-1-2	3-3669164-2	3138951-0-0	1-0-0	1081188-4838241-1933841	4-1-3	8774363-2-0	8414488-0-0	4275945-7636999-6655195	6646066-1-2	7869966-7636999-6655195	0-7526676-5939010	3-7735770-2	7595140-8834812-1	4-349535-3	3-1-7787179	3-1-5327108	4-3529227-3	8164663-7636999-6655195	4934559-3915339-0	1216850-1-2	4934559-0-2972941	4934559-7127019-0
assemblage-379-581	0	0	0	0	0	20	0	0	0	0	0	326	0	0	0	13	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	38	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-174-175	0	0	0	53	0	0	3	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	86	0	0	0	0	9	74	0	0	0	0	23	0	0	0	0	0	80	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-1005-552	0	0	0	57	0	0	0	0	0	0	0	280	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	4	65	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-657-321	0	0	0	4	0	0	0	0	0	0	0	125	0	0	0	81	0	22	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	38	7	0	0	0	0	12	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-369-820	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	16	0	0	0	43	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	34	10	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	16	0	0	0	0	0	0	0	17	0	0	0	0	32
assemblage-829-98	0	0	0	0	0	0	0	0	0	0	0	114	0	0	38	89	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	67	0	27	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-227-302	0	0	0	0	0	0	0	0	0	0	0	37	0	0	21	83	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	170	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-638-795	0	0	0	0	0	0	0	0	0	0	0	73	0	6	87	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	18	0	0	0	0	11	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-192-834	0	0	0	0	0	0	0	0	0	0	0	53	0	0	8	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	24	0	0	72	0	75	0	0	0	0	0	0	47	0	0	12	101	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-985-738	0	0	0	0	0	0	0	0	0	0	0	0	26	0	28	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	267	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	27	15
