Assemblage_Name	4323312-1551633-2	1-2024754-2	5779309-4-2	1-4-7674352	1-974445-2	6679848-4-7514734	6679848-4-8205268	3-1855123-2	5928704-4-2	8997584-1378694-2	3383497-3-2	4323312-5317516-2	1-9212049-2	8183829-4-293667	1807193-3-2	1-3070901-2	1075517-1861271-2	1-743540-2	8526481-8323362-2	3-616219-2	2-1861271-395765	6679848-4-5479228	8183829-4697135-1375067	6679848-4-5138517	8183829-3812629-1375067	2-2702819-4	2-1861271-2	8183829-4-1375067	0-6804467-2	1-3051548-2	3-1443531-2	3-3-0	3-3-2	8526481-8323362-3655366	8000041-3-1685540	6463529-4-1	2-4026024-9741356	6679848-335503-1	1-1378694-2	2223877-2024754-2	7404154-8323362-2	0-2557596-2	1-4749419-2	2-696962-2	3058511-4-1375067	9150542-2702819-4	2-3871790-4	6679848-3179360-1	1-7966038-2	6679848-4-1	8183829-4-2698731	3359406-4-1375067	8183829-4-6220572	1-4-6057283	6679848-9275364-1	6679848-401269-1	6679848-2020901-1	6679848-4-2413595	1-4-8889120	5149444-2702819-4	7882886-8323362-2	8183829-3184763-1375067	2526075-4-1375067	4323312-697502-2	8554274-6804467-2	6679848-4-9206456	2592458-4-2	6679848-4305375-6466630	1-3-4	1-3176395-2	3-709499-0	3-3-7406791	2-7607840-2	0-7914178-2	6679848-8937437-2413595	1-4-2	2-4994291-4	3-3-6663188	607545-4-1375067	6841790-4-2	3-1466415-2	2-8323362-2	3-3-1903600	8000041-3-2	1-7483987-2	1-0-2	7183761-8323362-2	8744378-4-2	6679848-4-7794888	3347282-3-2	6679848-4-6152487	8335521-6804467-2	6679848-4-1499273	6679848-8971317-1	7788375-8323362-2	4323312-0-9779735	6679848-4994425-1	7462250-8323362-2	1766313-4-1	2-1861271-181575	8183829-586700-1375067	3-3-2579101	4536742-4-2319018	1-9212049-8209624	2592458-4600168-2	1-2027278-2	2-2702819-3605460	8183829-9237250-1375067	2442453-4-2	3-5363621-6663188	4323312-0-2	7882886-8323362-8297806	2-4122396-2	1-4-5534294	7882886-8323362-9476277	1-8026806-2	1943783-8323362-2	6679848-4-842907	6745384-4-1	6679848-4-6466630	3-4157224-0	8636896-1861271-2	6679848-8853629-1
assemblage-441-399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	7	0	0	0	17	50	3	0	0	0	30	0	0	0	0	0	13	0	0	0	13	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0	0	27	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	47
assemblage-659-658	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	26	30	14	0	0	0	74	0	0	0	0	0	4	0	0	0	8	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	49
assemblage-328-461	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	23	89	12	0	0	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	38	0	0	0	26	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	46
assemblage-405-561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	92	22	0	0	20	18	0	0	12	0	0	0	0	0	21	0	0	0	0	0	0	4	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	65	0	0	0	0	0	42	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-392-423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	5	50	0	0	0	0	40	0	0	0	0	0	13	0	0	0	11	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	29	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	45
assemblage-662-436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	65	21	0	0	48	14	0	0	0	0	0	13	0	0	0	0	0	0	0	18	8	12	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	86	0	0	0	0	0	56	0	0	0	22	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	29
assemblage-342-496	0	4	0	0	14	0	0	18	0	0	0	0	43	0	0	0	0	7	0	0	0	0	0	4	0	0	51	4	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	42	0	15	0	0	0	0	0	0	0	0	0	0	0	0	46	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-496-480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	84	11	0	0	14	19	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	60	0	0	0	39	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-577-441	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	8	0	0	0	0	0	13	0	0	31	0	11	0	0	0	86	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	9	0	0	13	0	15	0	0	0	0	0	0	0	0	0	0	0	0	59	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	19	0	0	0	0	0	0	0	0	0	0	0	47
assemblage-425-523	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	14	0	0	0	0	0	0	0	0	33	0	25	0	0	0	82	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	5	0	0	23	0	12	0	0	0	0	0	0	0	0	0	0	0	0	55	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-473-507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	50	16	0	0	13	23	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	50	0	0	0	55	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-448-485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	5	0	0	0	15	40	8	0	0	0	44	0	0	0	0	0	8	0	0	0	25	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	36	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	50
assemblage-566-327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	85	14	0	0	28	23	0	0	7	0	0	0	0	0	19	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	70	0	0	0	0	0	35	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	46
assemblage-385-572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	79	19	0	0	37	28	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16	0	0	0	0	0	79	0	0	0	0	0	52	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-450-482	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	32	101	0	0	0	0	26	0	0	0	0	0	43	0	0	0	6	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	20	0	0	0	35	0	0	0	0	0	18	0	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-519-486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	16	0	0	0	7	40	5	0	0	0	36	0	11	0	0	0	14	0	0	0	19	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	20	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	53
assemblage-330-439	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	20	32	4	0	0	0	54	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	5	0	0	26	0	8	4	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	46
assemblage-687-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	71	10	0	0	28	13	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	34	0	0	0	43	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-478-510	0	0	0	0	0	0	0	23	0	0	0	0	52	0	0	0	0	29	0	0	0	0	0	2	0	0	43	0	0	0	0	0	56	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	50	0	15	0	0	7	0	0	0	0	0	0	0	0	0	48	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	49
assemblage-410-427	0	0	17	0	8	0	0	23	0	0	0	0	68	0	0	0	0	27	0	0	0	0	0	7	0	0	16	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	5	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	10	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	89
assemblage-372-614	0	10	0	0	7	0	0	19	14	0	0	0	61	0	0	9	0	27	0	0	0	0	0	6	0	0	49	0	0	0	0	0	42	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	31	0	13	0	0	5	0	0	0	0	0	0	0	0	0	30	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	41
assemblage-330-618	0	0	17	0	13	0	0	22	0	0	0	0	56	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	13	0	0	21	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	18	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	9	56
assemblage-611-453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	59	10	0	0	11	31	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	96	0	0	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	49	0	0	0	44	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	4	0	23
assemblage-455-462	0	0	0	0	0	0	8	0	0	0	0	0	27	0	0	0	0	25	0	0	0	3	0	0	0	0	36	0	19	0	0	0	70	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	6	0	0	17	0	2	0	0	0	0	0	0	0	0	0	0	0	0	31	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	24	0	0	0	0	0	0	0	0	0	0	0	40
assemblage-470-542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	7	0	0	0	6	52	7	0	0	0	34	0	5	0	0	0	15	0	0	0	14	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	13	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	45
assemblage-494-612	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	28	22	0	0	0	0	58	0	0	0	0	0	6	0	0	0	17	0	0	0	0	0	0	235	0	0	0	0	0	0	0	8	0	0	11	0	10	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	51
assemblage-558-490	0	0	0	0	0	0	0	0	0	0	0	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	21	20	11	0	0	0	65	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	7	0	0	15	0	9	4	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-513-431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	90	18	0	0	32	29	0	0	5	0	0	0	0	0	26	0	0	0	5	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	77	0	0	0	0	0	42	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	61
assemblage-607-536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	85	22	0	0	43	28	0	0	7	0	0	0	0	0	15	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	9	0	91	7	0	0	0	0	42	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-627-483	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	14	0	0	0	0	0	0	0	0	38	6	27	0	0	0	74	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	8	6	0	0	25	0	7	0	0	0	0	0	0	0	0	0	0	0	0	41	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	14	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-339-595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	77	14	0	0	54	6	0	0	0	0	0	14	0	0	0	0	0	0	0	8	0	16	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	0	0	0	74	0	0	0	0	0	46	0	0	0	20	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-326-635	0	0	8	0	7	0	0	11	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	0	27	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	69	0	0	0	12	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	56
assemblage-417-583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	103	0	0	0	0	26	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	35	0	0	0	25	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	52
assemblage-581-624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	57	11	0	0	22	28	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	43	0	0	0	59	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-641-508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	90	8	0	0	35	13	0	0	0	0	0	29	0	0	0	0	0	0	0	12	0	3	77	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	3	0	0	0	0	0	65	0	0	0	0	0	50	0	0	0	15	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	33
