Assemblage_Name	2-6345292-4	3-0-1415202	2-1-5349841	3530954-1-1	580235-3-0	3-2623277-4	3-1-1	3031050-1-3	2-8246421-3	2-4034816-1	2-1-8555	2820048-3-7665263	4-3-4327620	2-8481056-1	2-1-2	2-1-3	2-1-1	4-8100764-0	6587182-3-0	3-2-2	1-1-9139356	1-1-1	2-9716358-1	3-0-9549029	3-2-1	3067872-0-4	2-1-7341837	2-1-8773733	2-1-7693678	4-3-0	4-3-5736744	2-2-2	4-3-9853763	1175756-1-1	2-2-7747954	7733678-0-4	3-7012255-4	474928-8078794-1	2-2853887-1	2-7020053-2	2-4340492-3	2681821-0-9549029	87464-1-1	4-3-1194034	474928-1-1	8884271-3-0	1-4-4	2019335-0-9549029	4-3-5517995	2-1-922797	2-3769745-3	2-167703-3	3601545-3-0	2-1-1655286	4-3-9180618	2866778-1-1	4-3-7665263	4444638-1-1	2-1-4766266	3-0-4	2-1-2944784	4-3-1248306	1-7793523-1	6358459-6345292-4	2984880-3-0	6358459-6345292-5573865	2-1-120722
assemblage-581-474	0	0	0	0	0	0	0	0	0	0	8	0	0	0	139	0	189	0	0	0	0	14	0	0	0	0	0	0	0	92	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-227-549	0	0	0	0	0	0	0	7	0	0	0	0	0	0	127	24	85	0	0	0	0	63	0	0	0	0	0	0	0	78	0	22	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	16	0	0	0	0	0	0	0	0	0	0	17	0	0	8	0	0	0	12
assemblage-606-491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	25	94	0	0	0	0	58	0	7	0	0	0	0	0	82	0	26	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	10	0	0	0	0	8	0	0	0	0	0	12	0	0	6	0	0	0	22
assemblage-673-568	0	0	0	0	0	0	12	0	0	0	0	0	0	0	119	23	92	0	0	0	0	35	0	0	0	0	0	0	0	34	0	24	20	0	0	0	0	0	0	0	0	0	8	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	69	7	0	0	17	0	0	28
assemblage-702-358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	33	127	0	0	0	0	49	0	0	0	0	0	0	0	67	0	20	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	0	37
assemblage-494-372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	23	122	0	0	0	0	54	0	0	0	0	0	0	0	66	0	28	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	0	0	7	0	0	0	25
assemblage-558-310	0	0	0	0	0	0	20	0	0	0	0	6	0	0	86	22	63	0	0	20	0	47	0	0	4	0	0	0	0	69	0	20	0	0	0	0	0	0	0	0	0	0	27	0	0	0	9	0	0	0	0	0	0	0	0	0	13	0	0	67	7	0	0	12	0	0	8
assemblage-497-574	0	0	0	0	0	0	22	0	11	0	0	0	0	0	104	62	95	0	0	0	0	49	0	0	0	0	0	0	0	34	0	26	0	0	0	0	0	0	0	0	0	0	0	0	6	0	55	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	13
assemblage-605-473	4	0	0	0	0	0	16	0	0	0	0	0	0	0	64	12	90	0	0	18	0	50	0	0	6	0	0	0	0	55	0	13	0	0	0	0	0	0	0	0	0	0	29	0	0	0	16	0	0	0	0	0	0	0	0	0	8	0	0	83	2	0	0	20	0	0	14
assemblage-348-355	0	0	0	0	0	0	11	0	0	0	0	0	0	0	98	15	112	0	0	0	0	50	0	0	0	0	0	0	0	25	0	36	0	0	0	20	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	47	6	0	0	0	0	0	26
assemblage-616-507	0	0	0	0	0	0	15	0	0	0	0	0	0	0	58	31	66	0	0	17	0	52	0	0	12	0	0	0	0	46	0	19	15	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	85	4	0	0	12	0	0	16
assemblage-532-354	0	0	0	0	0	0	16	0	0	0	0	0	0	0	120	30	113	0	0	0	0	44	0	0	0	0	0	0	0	17	0	28	0	0	0	7	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	9
assemblage-363-547	0	0	0	0	0	0	31	0	0	0	0	0	0	0	80	13	95	0	0	0	0	21	0	0	0	7	0	0	0	45	0	23	19	0	0	0	0	0	0	0	0	0	12	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	60	16	0	0	26	0	6	25
assemblage-529-629	0	0	0	0	0	0	0	0	0	0	6	0	0	0	133	0	196	0	0	0	0	36	0	0	0	0	7	0	0	68	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	31
assemblage-707-574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	193	0	0	0	0	23	0	0	0	0	0	0	0	106	0	25	0	0	0	0	0	0	0	9	0	0	0	5	20	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-363-465	0	0	0	0	0	0	10	0	0	0	0	0	0	0	109	26	71	0	0	9	0	26	0	0	0	0	0	0	0	39	0	37	19	0	0	0	0	0	0	0	0	0	9	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	66	26	0	0	18	0	0	16
assemblage-368-631	0	0	0	0	0	4	0	0	0	0	0	0	0	0	79	17	99	0	0	0	0	91	0	0	0	0	0	0	0	120	0	16	0	0	8	0	0	0	0	0	0	0	0	0	25	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-411-672	0	0	0	0	0	0	23	0	0	0	0	0	0	0	85	19	113	0	0	0	0	63	0	0	0	0	0	0	0	25	0	42	0	0	0	2	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	58	15	0	0	0	0	0	12
assemblage-348-464	0	0	0	0	0	0	8	0	0	0	0	0	0	0	123	14	134	0	0	0	0	46	0	0	0	0	0	0	0	13	0	35	0	0	0	19	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	40	11	0	0	4	0	0	6
assemblage-698-498	0	0	0	0	0	0	28	0	0	0	0	0	0	0	110	46	107	0	0	0	0	36	0	0	0	0	0	0	0	20	0	24	0	0	0	0	0	0	0	0	0	0	0	0	7	0	80	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	13
assemblage-497-493	0	0	0	0	0	0	11	0	0	0	0	0	0	0	93	19	78	0	0	5	0	48	0	0	0	0	0	0	0	32	0	30	15	0	0	0	0	0	0	0	0	0	17	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	57	19	0	0	36	0	0	18
assemblage-409-524	0	0	0	0	0	5	0	0	0	0	0	0	0	0	64	10	117	0	0	0	0	90	0	0	0	0	0	0	0	111	0	22	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	10	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-696-326	8	0	0	0	0	0	11	0	0	0	0	7	0	0	75	17	62	0	0	19	0	47	0	0	16	0	0	0	0	54	0	16	0	0	0	0	0	0	0	0	0	0	17	0	0	0	9	0	0	0	0	0	0	0	0	0	10	0	0	90	9	0	0	16	0	0	17
assemblage-404-579	0	0	0	0	0	0	17	0	11	0	0	0	0	0	128	51	81	0	0	0	0	47	0	0	0	0	0	0	0	20	0	25	0	0	0	0	0	0	0	0	0	0	0	0	7	0	71	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
assemblage-596-514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	13	120	0	0	0	0	91	0	0	0	0	0	0	0	92	0	30	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-387-549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	7	167	0	0	0	0	39	0	0	0	0	0	0	0	102	0	34	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-612-665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	173	0	0	0	0	27	0	0	0	0	0	0	0	104	0	22	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-432-615	0	0	0	0	0	0	17	0	7	0	0	0	0	0	92	56	124	0	0	0	0	40	0	0	0	0	0	0	0	24	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	10	0	36	0	0	0	0	0	0	13
assemblage-767-668	0	0	0	0	0	0	0	0	0	1	0	0	0	0	125	32	91	0	0	0	0	58	0	6	0	0	0	0	0	70	0	23	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	0	0	18	0	0	0	21
assemblage-525-510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	43	76	0	0	0	0	34	0	9	0	0	0	0	0	93	0	19	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	12	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	0	0	17
assemblage-543-479	0	0	0	0	0	9	0	0	0	0	0	0	0	0	92	16	88	0	0	0	0	105	0	0	0	0	0	0	0	85	0	35	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-275-306	0	0	0	0	0	16	0	0	0	0	0	0	0	0	91	17	111	0	0	0	0	111	0	0	0	0	0	0	0	86	0	19	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-436-616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	206	0	0	0	0	15	0	0	0	0	0	0	0	105	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-535-590	0	0	0	0	0	0	0	0	0	10	0	0	0	0	132	30	119	0	0	0	0	33	0	8	0	0	0	0	0	78	0	29	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	0	0	4	0	0	0	10
assemblage-496-517	0	0	0	0	0	0	15	0	0	0	0	0	0	0	79	23	131	0	0	0	0	63	0	0	0	0	0	0	0	13	0	43	0	0	0	7	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	50	6	0	0	9	0	0	19
assemblage-511-550	0	0	0	0	0	0	11	0	0	0	0	0	0	0	93	11	126	0	0	0	0	73	0	0	0	0	0	0	0	13	0	18	0	0	0	17	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	46	12	0	0	6	0	0	14
assemblage-565-445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	10	91	0	0	0	0	118	0	0	0	0	0	0	0	77	0	31	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-392-520	0	0	0	0	0	0	0	0	0	0	12	0	0	0	121	0	201	0	0	0	0	30	0	0	0	0	9	0	0	83	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-529-483	0	0	0	0	0	0	14	0	0	0	0	0	0	0	87	39	79	0	0	18	0	34	0	0	10	0	0	0	0	42	0	19	0	0	0	0	0	0	0	0	0	0	19	0	0	0	8	0	0	0	0	0	0	0	0	0	12	0	0	76	8	0	0	19	0	0	16
assemblage-530-503	0	0	0	0	0	0	10	0	0	0	0	0	0	0	72	25	83	0	0	9	0	41	0	0	11	0	0	0	0	58	0	17	0	0	0	0	0	0	0	0	0	0	24	0	0	0	16	0	0	0	0	0	0	0	0	0	9	0	0	72	0	0	0	25	0	0	28
assemblage-663-385	0	0	0	0	0	0	19	0	0	0	0	0	0	0	59	31	74	0	0	8	0	45	0	0	9	0	0	0	0	67	0	14	0	0	0	0	0	0	0	0	0	0	26	0	0	0	4	0	0	0	0	0	0	0	0	0	13	0	0	96	0	0	0	17	0	0	18
assemblage-548-384	0	0	0	0	0	0	17	0	0	0	0	0	0	0	121	30	66	0	0	20	0	32	0	0	0	0	0	0	0	22	0	21	14	0	0	0	0	0	0	0	0	0	9	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	77	14	0	0	29	0	0	12
assemblage-499-650	0	0	0	0	0	0	20	0	0	0	0	0	0	0	124	76	105	0	0	0	0	25	0	0	0	0	0	0	0	46	0	9	0	0	0	0	0	0	0	0	0	0	0	0	32	0	18	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	7	0	0	0	10
assemblage-291-504	0	0	0	0	0	0	17	0	0	0	0	0	0	0	68	30	72	0	0	7	0	40	0	0	6	0	0	0	0	64	0	19	0	0	0	0	0	0	0	0	0	0	39	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	80	0	0	0	17	0	0	26
assemblage-436-466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	7	146	0	0	0	0	34	0	0	0	0	0	0	0	103	0	33	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-502-519	0	0	0	0	0	0	0	0	0	0	4	0	0	0	141	0	192	0	0	0	0	18	0	0	0	0	0	0	0	92	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-529-551	0	0	0	0	0	0	0	0	0	0	9	0	0	0	112	0	220	0	0	0	0	32	0	0	0	0	0	0	0	75	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18
assemblage-472-658	0	0	0	0	0	0	11	0	0	0	0	0	0	0	111	21	70	0	0	5	0	45	0	0	0	0	0	0	0	50	0	17	18	0	0	0	0	0	0	0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	66	16	0	0	26	0	0	26
assemblage-521-552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	214	0	0	0	0	15	0	0	0	0	0	0	0	97	0	32	0	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-507-435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	199	0	0	0	0	21	0	0	0	0	0	0	0	106	0	28	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-521-555	0	0	0	0	0	0	10	0	0	0	0	0	0	0	100	33	79	0	0	10	0	27	0	0	0	0	0	0	0	24	0	15	16	0	0	0	0	0	0	0	0	0	13	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	82	18	0	0	31	0	0	11
assemblage-444-561	0	0	0	5	0	0	11	0	0	0	0	0	0	0	108	69	90	0	0	0	0	45	0	0	0	0	0	0	0	35	0	26	0	0	0	0	0	0	0	0	0	0	0	0	53	0	12	0	0	0	0	8	0	0	0	0	0	0	0	23	0	0	7	0	0	0	8
assemblage-463-336	0	0	0	0	0	0	11	0	0	0	0	0	0	0	98	22	75	0	0	5	0	38	0	0	0	7	0	0	0	35	0	22	18	0	0	0	0	0	0	0	0	0	9	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	82	9	0	0	25	0	0	25
assemblage-384-352	0	0	0	0	0	0	9	0	0	0	0	0	0	0	81	20	75	0	0	6	0	39	0	0	0	6	0	0	0	33	0	20	16	0	0	0	0	0	0	0	0	0	13	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	98	10	0	0	40	0	0	14
assemblage-527-523	0	0	0	0	0	0	16	0	0	0	0	0	0	0	127	61	87	0	0	0	0	54	0	0	0	0	0	0	0	40	0	5	0	0	0	0	0	0	0	0	0	0	0	0	40	0	14	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	7	0	0	0	13
assemblage-432-479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	38	113	0	0	0	0	53	0	0	0	0	0	0	0	74	0	31	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	9	0	3	0	0	0	0	0	0	0	0	17	0	0	7	0	0	0	21
assemblage-544-611	0	0	0	0	0	0	0	0	0	0	10	0	0	0	129	0	206	0	0	0	0	15	0	0	0	0	4	0	0	85	0	19	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17
assemblage-550-465	0	0	0	0	0	0	8	0	0	0	0	0	0	0	100	24	65	0	0	7	0	30	0	0	0	0	0	0	0	37	0	35	23	0	0	0	0	0	0	0	0	0	10	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	71	16	0	0	30	0	0	23
assemblage-478-546	0	0	0	0	0	0	35	0	9	0	0	0	0	0	101	51	130	0	0	0	0	37	0	0	0	0	0	0	0	8	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	14
assemblage-557-394	0	0	0	0	0	8	0	0	0	0	0	0	0	0	67	21	137	0	0	0	0	93	0	0	0	0	0	0	0	82	0	18	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-371-326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	20	117	0	0	0	0	113	0	0	0	0	0	0	0	82	0	22	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-377-570	0	0	0	0	0	0	15	0	0	0	0	0	0	0	105	71	113	0	0	0	0	36	0	0	0	0	0	0	0	40	0	17	0	0	0	0	0	0	0	0	0	0	0	0	36	0	22	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	14
assemblage-390-415	0	0	0	0	0	0	18	0	0	0	0	0	0	0	83	22	79	0	0	6	0	38	0	0	0	0	0	0	0	41	0	27	23	0	0	0	0	0	0	0	0	0	4	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	65	13	0	0	22	0	0	33
assemblage-394-439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	42	85	0	0	0	0	36	0	6	0	0	0	0	9	83	0	29	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	0	0	7	0	0	0	28
assemblage-649-566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	209	0	0	0	0	21	0	0	0	0	0	0	0	98	0	22	0	0	0	0	0	0	0	5	0	0	0	0	35	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-603-296	0	0	0	0	2	0	11	0	0	0	0	0	0	0	87	36	79	0	0	8	0	20	0	0	0	0	0	0	0	42	0	34	16	0	0	0	0	0	0	0	0	0	13	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	92	13	0	0	9	0	0	14
assemblage-538-178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	185	0	0	0	0	23	0	0	0	0	0	0	0	113	0	37	0	0	0	0	0	0	0	0	0	0	0	6	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-641-489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	188	0	0	0	0	17	0	0	0	0	0	0	0	119	0	38	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-616-551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	20	131	0	0	0	0	86	0	0	0	0	0	0	0	74	0	28	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	12	16	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	15
assemblage-418-418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	12	181	0	0	0	0	54	0	0	0	0	0	0	0	115	0	32	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-587-430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	30	101	0	0	0	0	68	0	7	0	0	0	0	0	63	0	32	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	0	7	0	0	0	26
assemblage-318-446	0	0	0	0	0	0	0	0	0	0	8	0	0	8	119	0	197	0	0	0	0	23	0	0	0	0	0	0	0	104	0	22	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-591-436	0	0	0	0	0	0	14	0	0	0	0	0	0	0	81	26	117	0	0	0	0	65	0	0	0	0	0	0	0	28	0	42	0	0	0	11	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	37	12	0	0	0	0	0	13
assemblage-296-526	0	0	0	0	0	0	25	0	0	0	0	0	0	0	59	22	76	0	0	17	0	51	0	0	8	0	0	0	0	46	0	20	0	0	0	0	0	0	0	0	0	0	18	0	0	0	14	0	0	0	0	0	0	0	0	0	12	0	0	79	0	0	0	15	0	0	38
assemblage-266-508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	217	0	0	0	0	16	0	0	0	0	0	0	0	92	0	25	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-695-531	0	0	0	0	0	0	12	0	0	0	0	0	0	0	117	59	113	0	0	0	0	50	0	7	0	0	0	0	0	31	0	21	0	0	0	0	0	0	0	0	0	0	0	0	42	0	14	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	15
assemblage-388-522	0	0	0	0	0	0	32	0	3	0	0	0	0	0	108	52	91	0	0	0	0	34	0	0	0	0	0	0	0	19	0	28	0	0	0	0	0	0	0	0	0	0	0	0	10	0	76	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	10
assemblage-402-587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	9	140	0	0	0	0	41	0	0	0	0	0	0	0	123	0	33	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-648-678	0	0	0	0	0	0	6	0	0	0	0	0	0	0	105	27	72	0	0	7	0	29	0	0	0	0	0	0	0	41	0	24	16	0	0	0	0	0	0	0	0	0	9	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	71	37	0	0	19	0	0	11
assemblage-457-430	0	0	0	0	0	0	15	0	0	0	0	0	0	0	108	15	76	0	0	11	0	42	0	0	0	0	0	0	0	51	0	26	17	0	0	0	0	0	0	0	0	0	8	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	67	10	0	0	14	0	0	24
assemblage-676-543	0	0	0	0	0	0	11	0	0	0	0	0	0	0	99	24	82	0	0	0	0	61	0	0	0	0	0	0	0	27	0	44	0	0	0	18	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	53	6	0	0	0	0	0	16
assemblage-518-329	0	0	0	0	0	0	18	0	0	0	0	0	0	0	109	54	99	0	0	0	0	42	0	0	0	0	0	0	0	29	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	19
assemblage-658-550	0	0	0	0	0	10	0	0	0	0	0	0	0	0	112	14	92	0	0	0	0	80	0	0	0	0	0	0	0	106	0	27	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-720-545	0	0	0	0	0	0	13	0	0	0	0	0	0	0	79	19	49	0	0	11	0	43	0	0	20	0	0	0	0	56	0	22	0	0	0	0	0	0	0	0	0	0	39	0	0	0	10	0	0	0	0	0	0	0	0	0	7	0	0	91	3	0	0	20	0	0	18
assemblage-413-510	0	0	0	0	0	0	16	0	0	0	0	0	0	0	106	77	91	0	0	0	0	39	0	0	0	0	0	0	0	37	0	11	0	0	0	0	0	0	0	0	0	0	0	0	44	0	23	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	4	0	0	0	15
assemblage-417-539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	8	134	0	0	0	0	68	0	0	0	0	0	0	0	104	0	26	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-549-367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	196	0	0	0	0	14	0	0	0	0	0	0	0	119	0	28	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-649-269	0	0	0	0	0	0	0	0	0	0	0	0	0	7	125	0	205	0	0	0	0	20	0	0	0	0	0	0	0	95	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-685-459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	17	141	0	0	0	0	72	0	0	0	0	0	0	0	74	0	41	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-405-228	0	0	0	0	0	0	7	0	0	0	0	0	0	0	114	73	84	0	0	0	0	40	0	0	0	0	0	0	0	36	0	10	0	0	0	0	0	0	0	0	0	0	0	0	48	0	29	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	8	0	0	0	17
assemblage-405-545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	9	108	0	0	0	0	99	0	0	0	0	0	0	0	89	0	19	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	30
assemblage-549-340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	208	0	0	0	0	21	0	0	0	0	0	0	0	101	0	26	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-532-424	0	0	0	0	0	0	0	0	0	0	3	0	0	0	131	0	217	0	0	0	0	23	0	0	0	0	0	0	0	76	0	24	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12
assemblage-559-455	0	0	0	0	0	0	14	0	0	0	0	5	0	0	84	18	62	0	0	20	0	51	0	0	6	0	0	0	0	65	0	17	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	66	6	0	0	21	0	0	24
