Assemblage_Name	3084741-2419046-3765544	0-6381475-0	2-2-2215092	3084741-2419046-6630412	2-5302001-2	2754600-2-2	9069641-5579210-282613	3084741-3-282613	3084741-1896078-282613	6355734-2-3279107	2-7465897-340746	3084741-3-3338584	6355734-2-2	1-1936102-2	1-2-6242143	9230680-2419046-282613	9069641-4013476-282613	3-1-3	9965688-2419046-282613	1670402-9195664-282613	2-2-5797212	3328090-2-3457470	1560096-3-282613	2091433-2-2	9069641-122859-282613	2-7904548-2	9069641-3-363622	1937021-3958797-282613	2091433-4140576-2	2-2-3276155	2-5636154-340746	2-969350-2	2524371-2-2	5404112-2419046-4741879	2-2-1602713	9069641-3-3331225	1527075-2-2	6355734-8906356-2	3-8007932-282613	8059499-3-363622	96617-1190807-3	1-1223170-2	3084741-9865511-282613	6544055-3-282613	1704133-3-282613	9733857-1-6380708	4510126-3-282613	5911644-2-2	1670402-3-282613	3084741-3-8843184	1-2-3374611	3541602-1936102-2	1937021-3-282613	9636245-1936102-2	96617-5534934-3	3084741-2419046-282613	1-2-2	9733857-1-2	4-3-0	3084741-2419046-4741879	6355734-2-5911017	0-0-228951	1-3021659-2	1-2-4926743	290673-5136569-282613	2-1068255-2	3084741-3628408-282613	2-2-2	1-8252539-2	0-6381475-2365816	1-2843756-2	7748357-1936102-2	2091433-7746675-2	2091433-8011583-2	5272457-2-2	6355734-2-2195679	6355734-2-3313256	3-3-282613	6355734-9564016-2	3084741-3-7414057	3084741-3049164-4741879	7515067-3-4	1-2-7278807	7559090-1190807-3	3084741-2419046-1549966	1846433-3-282613	9069641-4675545-282613	4397321-3-282613	1285776-2-2	2-8784395-2431499	2-2-3457470	2219515-3-282613	6355734-5419555-2	2-3975185-2	9069641-3-6268423	2881911-3-282613	1-2-5416627	7136362-1936102-2	2-2-340746	4886036-0-228951	5568381-3-5860895	8714900-2-2	290673-3-282613	3-4434243-282613	1-7006840-2	3084741-2419046-2266459	1299934-2-2	731999-2419046-4741879	9069641-3-282613	96617-1-3	6355734-6992669-2	4179483-3-3338584
assemblage-207-392	0	0	0	0	0	0	0	77	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	122	0	0	13
assemblage-729-265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	5	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	42	0	0	0	0	12	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	10	0	0	0	0	0	111	0	0	35
assemblage-203-402	0	0	0	0	0	0	0	15	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	11
assemblage-993-720	0	0	0	0	0	0	0	61	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	5	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	132	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	17
assemblage-714-272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	18	0	0	0	0	18	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	16
assemblage-400-899	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	9
assemblage-520-365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	12	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	35	0	0	0	0	32	0	0	19	0	9	0	0	0	17	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	80	0	0	20
assemblage-244-910	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	20	0	72	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	14
assemblage-433-120	0	0	0	0	0	0	0	130	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	33
assemblage-664-667	5	0	0	0	0	0	0	0	17	0	0	0	24	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	171	0	0	0	0	0	0	0	14	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	3	0	9	0	0	0	0	0	0	0	55	0	0	58	0	0	0	0	0	27	0	0	0	19
assemblage-264-747	0	0	0	0	0	0	0	42	0	0	0	0	10	100	0	0	0	0	0	0	0	0	0	123	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	30	0	0	0	0	0	0	0	87	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	10
assemblage-797-749	0	0	0	0	0	0	0	18	0	0	0	0	69	136	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	64	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	29	0	0	0	0	0	6	0	0	0	12
assemblage-716-247	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	149	0	0	39
assemblage-97-538	0	0	0	10	0	0	0	0	0	8	0	0	39	130	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	59	0	0	0	59	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	43	0	0	5	0	0	0	0	0	0	0	0	0	18
assemblage-140-383	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	9	0	106	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	167	0	0	11
assemblage-684-671	0	0	0	0	0	0	0	20	0	0	0	0	80	109	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	49	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	54	0	0	0	0	0	9	0	0	0	7
assemblage-262-911	0	0	0	0	0	0	0	123	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	47	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	26
assemblage-437-101	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	21	0	51	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	25
assemblage-802-123	0	0	0	0	0	0	0	0	0	0	0	0	252	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	8	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	5	0	0	0	0	0	0	28	0	0	0	0	0	13
assemblage-592-295	0	0	0	0	0	0	0	39	0	0	0	0	18	192	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	51	0	0	0	22	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	12	0	0	10
assemblage-420-685	0	0	0	0	0	0	0	0	0	0	0	0	242	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	4	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	23
assemblage-950-291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	20	0	0	0	0	0	5	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	30
assemblage-867-301	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	18	0	67	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	16
assemblage-243-260	0	0	0	0	0	0	0	92	0	0	0	0	53	28	0	0	0	0	0	0	0	0	0	204	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-667-580	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	14
assemblage-797-476	0	0	0	4	0	0	0	0	0	6	0	0	27	128	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	43	0	0	0	64	8	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	38	0	0	11	0	0	0	0	0	0	0	0	0	22
assemblage-503-522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	9	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	17
