Assemblage_Name	3-1-3409667	1886692-623956-5957807	8248613-833967-8939877	5288635-833967-0	0-7952636-0	7525879-833967-2519813	1419962-6822187-5957807	3-1-8468322	3-8123083-9130152	4418933-623956-7861222	3-1-0	8248613-6472903-2519813	0-623956-5957807	3520414-1-0	4140973-3601358-2519813	8248613-833967-1330012	8248613-833967-8839854	8248613-7962337-2519813	0-833967-4871960	3144603-833967-0	0-833967-9992443	863550-1-9130152	6972666-0-1127788	8248613-9528621-2519813	0-833967-2521677	6972666-0-6363143	7156954-833967-0	0-833967-2519813	4530106-0-4762786	8248613-833967-2519813	4530106-0-6363143	0-0-3042493	3-1-8656195	9384201-0-5957807	7520726-0-5957807	0-6787545-4871960	647522-0-5957807	8248613-833967-3169281	7742657-623956-5957807	4732205-1-0	4418933-623956-5957807	3-1-743099	6972666-0-895473	2414478-1-0	6972666-0-6913924	4219698-0-5957807	8870584-833967-2519813	2025986-0-5957807	6972666-0-1011035	282136-0-5957807	1419962-6822187-3450778	8248613-833967-2089704	9826565-623956-5957807	3330991-623956-5957807	4418933-6951696-5957807	1419962-0-6458707	7566239-1-0	8248613-9528621-1426173	4418933-7759083-5957807	0-9815412-4871960	6972666-0-6326798	2452304-833967-0	8699905-1-0	6972666-1277330-4134716	1419962-0-5957807	0-833967-1882871	1886692-623956-7901434	8649275-2087588-0	9193380-833967-0	8649275-833967-0	5778317-833967-2519813	6972666-4398317-5957807	8248613-7832313-2519813	8248613-833967-3018594	1419962-0-1865366	6972666-0-2653183	0-833967-0	0-833967-7422324	6972666-8516614-5957807	8248613-9149673-2519813	3-1-9130152	1-4-1	4418933-623956-7776456	0-6737896-0	6972666-2529112-5957807	8307299-833967-2519813	0-3896082-5957807	3-1-306093	3-1-1409939	7428934-833967-0	8248613-833967-4700961	4232208-1-0	1980891-833967-2519813	3-1-801500	9988159-4529519-2519813	8004439-623956-5957807	915672-833967-2519813	5401852-1-9130152	1419962-2380797-5957807	6972666-4462216-5957807	8248613-833967-2784202	0-3601358-2519813	5238541-4398317-5957807	4418933-9272378-5957807	0-9240053-0	6972666-0-5957807	1980891-833967-5794676	1263265-833967-2519813	0-0-5957807	4418933-4112695-5957807	1419962-0-4143592	6972666-7034531-5957807	9384201-0-2861793
assemblage-207-392	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	65	35	0	23	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	14	0	0	24
assemblage-729-265	0	0	0	0	0	0	0	0	0	0	39	0	20	0	0	0	0	0	33	0	21	0	0	0	18	0	0	16	0	0	14	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	50	0	0	18	34	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	44	0	0	0	29
assemblage-203-402	0	0	0	0	0	0	11	0	0	0	203	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	10	34	0	0	0	0	0	17	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	9	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	18
assemblage-993-720	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	15	0	0	7	0	0	0	4	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	19	0	0	0	0	30	0	7	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	99	0	0	0	0	0	0	16
assemblage-714-272	0	0	0	0	0	0	0	0	0	0	59	0	11	0	0	0	0	0	102	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	60	0	0	33	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	21
assemblage-400-899	0	0	0	0	0	0	5	0	0	0	95	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	28	71	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	30
assemblage-520-365	0	0	0	0	0	0	0	0	0	0	4	0	53	0	0	0	0	0	7	0	8	0	0	0	48	0	0	38	0	0	17	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	20	0	0	11	26	8	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	51	0	0	81	0	0	0	2
assemblage-244-910	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	42	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	25	0	0	0	0	0	0	6	0	0	7	0	0	0	40	0	0	0	0	0	0	20
assemblage-433-120	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	6	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	33
assemblage-664-667	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
