Assemblage_Name	7874244-1-3	7313100-5496250-2	2126469-3077795-0	7313100-4-2	6309666-0-4	349418-4-9784649	2642111-5496250-2	6562726-3077795-0	2-1-3143698	1873603-1-4476892	1630776-0-4	6852965-7493025-0	4-0-1514339	6229859-1-3	4-2875266-0	4-3077795-2296644	7014897-3077795-0	3510999-3077795-0	9556478-0-3	447230-3077795-0	3-3421867-5189586	4-3077795-8725709	1-4434737-1	2-1-3	4-3077795-2519313	4-7493025-0	1429443-0-0	727976-3421867-1	3-3421867-5768442	4-3077795-2066436	5957318-3421867-1	1873603-1-3	4-0-2533689	2-1-5732128	6309666-0-3404052	2-1-6478713	1-2-2697500	6309666-3961579-4	4-8440246-0	8922440-1-3	5002872-1495049-3	4506518-1-3	2-1-1108773	2-5957310-1	5857447-1-3	2-0-4	8480293-4386664-2	1-2-1	8064200-1-3	4-9651976-4351074	4-775734-7122450	5847670-4-2	4-9042313-0	4969526-1-3	4-7662039-0	387051-1-3	8276205-1-3	2-8470939-3	4-2254975-0	9773945-0-4	2-1-9327517	166107-1-3	7874244-5788517-3	2-1-3285328	2-7858616-3	4-0-367896	2-1-712451	4-9651976-0	2-1495049-3	349418-4-7997269	4-9651976-9680683	9821000-0-0	2-1-75184	4-2175900-0	4-5084823-0	4-0-2804808	1873603-4317549-3	1873603-4197809-3	5207550-0-4	4-4986822-0	1742992-1-3	7313100-5312967-2	349418-8530708-9784649	4-3077795-5369315	1873603-485405-3	4-2914485-0	2-1-7441176	4-6023459-0	3-3421867-1	1101640-3421867-1	349418-4-7210303	4-3077795-0	1-6149890-1	4-0-0	8846237-0-0	3-369776-1	2-2304457-3	4-0-1445428	2-4-1	4-775734-0	1724685-3077795-0	7000985-4-2	1539745-1-3	6251980-0-4	4-7493025-4959440	4-0-2058937	4-3077795-1904262	4-3077795-4926456	4-8995897-0	7680319-7605885-0	7313100-5464599-2	3500165-1-3
assemblage-950-291	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-948-296	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-113-959	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	15	0	176	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	62	0	0	0	0	13	0	0	0	0	0	0	0	14
assemblage-837-802	0	0	0	0	0	14	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	114	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	128	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	20
assemblage-536-381	0	17	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	57	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	38	0	13	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	21
assemblage-715-242	0	0	0	0	0	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	103	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	11
assemblage-132-399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	4	155	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-169-400	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	16	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-490-497	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-400-899	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	89	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	12
