Assemblage_Name	4997410-9709789-3	6476841-691711-3	3-9394600-6983492	4668445-9709789-8977134	4019256-0-3	1-9709789-7926263	1-0-5088970	6809195-2-3	0-6533438-7150720	1-0-3996655	4668445-9709789-3	2896054-9709789-3	87558-9709789-3	1-4705942-3	1-4491364-3	4668445-9638181-3	378529-2-3	3-2-7660673	3-901152-6983492	1326774-0-3	4120187-3319156-1532498	3-1-5908296	1078370-9709789-3	1-2176807-3	1-6909509-3	3-2-3	6476841-2-3	1-6565805-9898792	1-1442004-8223667	6476841-6384745-3	3514113-0-3	9534867-0-3	1-9444647-3	3-3-3	1-9709789-6104749	3-1-918125	4668445-2471029-3	3-2690632-6983492	1-5993322-3	1-9709789-3	3-8521796-6983492	3-1-6983492	3-6345281-3	7670108-0-3	1-9709789-5181729	5585615-2-3	6476841-2-9945951	3-6276298-6983492	3-8516723-6983492	1-9709789-5980755	3-2-8039297	3-1-6524833	187260-9709789-3	3-6345281-4383632	1698141-0-3	4736061-0-3	3-3229472-3	1-492000-3	3-2-9288178	1-6565805-3	1-0-3030199	2418071-0-3	3-1-7094930	4583078-2-3	3-4114184-7710626	1-6632430-3	3-1-3513098	3-1-929099	6290126-0-3	1-6036156-3	3-6019542-6983492	6476841-2-554641	7310580-0-3	1-0-6465897	1-6220644-3	4-4202301-3	723096-9709789-3	1-2536871-3	3698626-9709789-3	8296805-2-7660673	1-5717639-3	3-2-2043388	825254-0-3	1-9267144-3	4120187-1-6923293	1-7516814-3	6476841-2-1855032	3157770-9709789-3	4668445-9709789-3282578	1-0-2303306	3-1-3938117	1-1442004-3	3-2-8395305	3-7814352-6983492	0-1479450-7150720	6476841-2-9936825	1-0-3	3-3707387-3	6476841-2-2460574	2386404-2-3	2726848-6533438-7150720	1-0-2503377	4-1-3	1-0-6824341	1698141-712656-3	6476841-7775999-3	861870-0-3	1-520058-3	4948647-0-3	3-3-1767589	3-4114184-7660673	1-4705942-4148614	1-8569729-3	4120187-1-1532498	3-536237-3	1-9709789-6133104	1-9709789-5183844	3-4114184-5822723	1-0-6711806	3-1-9222715	1-6565805-702437	1-9709789-1829351
assemblage-836-963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-955-304	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	8	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-835-941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	173	0	0	0	11	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-714-272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	6	0	0	0	20
assemblage-865-797	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	37	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	4	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	18
assemblage-522-357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	90	28	0	0	0	0	0	0	30	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	16
assemblage-152-385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	92	5	0	0	0	0	0	0	20	0	0	0	0	0	19	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	52	0	0	0	14	0	0	0	10
assemblage-478-884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	8	0	0	0	0	0	0	10	0	0	0	0	0	15	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	75	0	0	0	30	0	0	0	17
assemblage-156-401	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	29	0	0	0	0	0	92	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	25
assemblage-212-405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	88	0	0	0	0	0	0	7	0	0	0	0	0	94	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	8	0	0	0	17
