Assemblage_Name	1-3-7825408	4543358-0-5283287	43258-8614483-0	5880767-5170450-1770589	7539694-4-1770589	43258-3-8682698	9388667-3-0	43258-3-6784548	1-3-7012716	9164649-3-0	7822499-3-0	3802640-3-2414593	1-3-5847363	3989189-3820771-7245138	3450229-4-4	7946642-3-7825408	9013103-3-0	4-6988642-5292085	8376500-5846763-2895764	4-2120665-4	3972716-3-0	7802344-3-2414593	1-3-936599	2843132-3-7825408	1331096-4-1988765	6604969-4-4	6370198-3-7825408	772319-6701325-0	7125013-4-4	4583047-4-8016666	4-4-8959875	4-4-8119171	2296112-5846763-2895764	4583047-5170450-1157202	1638671-4-1770589	2554290-4-4	9215718-3-2414593	4583047-9408506-1770589	4543358-1095990-3	1-3-5947042	772319-3-8127612	6007234-6858777-1770589	4583047-6988066-1770589	5386962-6779253-0	4814179-4-5292085	4583047-4-8295469	1-6888988-7825408	4583047-4-1770589	8975718-4-4	1-3-6057519	43258-9461033-0	8483494-3-2414593	4583047-4-8403651	4583047-4-7640711	2296112-5846763-7679308	6007234-1980666-1770589	2296112-5846763-4	3769995-6858777-1770589	43258-2899191-0	0-0-3	2296112-9124422-4	1-6902827-7825408	4583047-636492-1770589	4583047-275502-1770589	43258-3613812-0	4-9572005-5292085	1276862-4-4	4583047-6465647-1770589	9489177-3-2865270	1-6937230-0	4-4556743-3201345	2554290-3963431-4	2554290-4-8675475	43258-6862703-6784548	4-4-5292085	350611-8261491-0	1-3-2414593	4-5981244-3201345	1-3-5812237	4583047-5170450-8703180	9390122-3-0	9980505-9954365-1770589	7148139-4-1770589	1-3-3883620	5912541-3-0	1-6937230-9130652	4583047-3703988-1770589	1245435-4-4	4-4-4	4-4-9265366	9310330-0-3	8041061-3-0	9771945-3-6784548	43258-6267079-0	795743-3-7170978	2554290-4-2793007	1488567-3-0	1-3-4204056	4-4559350-4	1-7543615-0	2948080-8352141-3	43258-6217259-0	43258-6043184-0	9489177-3-0	4543358-8352141-3	4-9140250-4	4369916-3-0	6800401-3-7825408	1331096-4-1770589	9164649-3-4601412	1-3-0	43258-3-5560632	4-4-8866820	4583047-5170450-1770589	43258-3-0	4-7717901-5324431	4-7717901-3201345	1-3-5468001	4-1503391-4	4-3697672-4	2931343-4-1770589	4583047-4-7984910	9388667-3-6109903	795743-3-6311212	6007234-2696175-1770589	1276862-5447453-4	4583047-4-8746926	4583047-3820771-7245138	9052103-4-4	43258-3-6311212	6604969-4-9960161	6841485-4-9960161	43258-246202-0	5019306-3-0	350611-3-0	6219919-3-0	2296112-5846763-7389867	43258-3-189599	4583047-8229948-1770589	4583047-9954365-1770589	1-3-3334873	7080906-3-0	43258-3-1906541	1-2239441-4204056	8904810-3-6784548	350611-8535658-0	9457656-3-0	4-9406608-4	2554290-1496585-4	4773463-3-7825408	1276862-4-1262102	4583047-6858777-1770589	1-3-2853854	1-3-8063140	1-8539471-5812237	4-4104047-5292085	772319-3-0	4-3708956-4	43258-7762505-0	5386962-3-0	4543358-0-3	4-9406608-5475909	5436850-4-4	4583047-4-7245138	4-5846763-4	1-3-429716	3420667-3-0
assemblage-122-945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	58	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-254-263	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	51	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	50	0	0	68	0	0	9	0	0	13
assemblage-275-260	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	41	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	46	0	0	76	0	0	21	0	0	15
assemblage-722-263	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	12	0	30
assemblage-715-242	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	34	0	0	0	8	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	21	87	0	47
assemblage-520-365	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	30	0	0	21	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	15	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	35	0	0	19	0	0	0	0	0	23
assemblage-495-501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	109	0	0	0	4	0	7	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	16
assemblage-376-184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	77	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	27
assemblage-475-889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	79	0	0	0	0	5	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	60	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	16
assemblage-212-405	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	12	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	14
