Assemblage_Name	4-3-7572602	4172260-3-0	7392473-3-0	8890486-2184457-3	8426446-2-3	4-3-9639453	2357297-4084855-0	2357297-2220940-6561686	4-2-3	7109494-2-3	4-2268035-0	8975410-2-3	7663735-2-3	8967915-3-0	4172260-9098201-0	4963224-3-0	4-2986817-0	2357297-9379294-0	4-2-5843652	7125452-2-3	5971879-3-0	4-7276102-0	2357297-8464878-4235019	4-2-2081213	627085-8744979-0	2357297-2220940-0	1991427-2411175-0	2984173-3-0	2357297-3-1068946	4-6087105-0	7961464-203069-6042769	4-862630-3	6549155-2692584-8992003	4-3-6868065	8744077-3-0	2357297-2220940-5194653	2357297-8464878-1374586	7125452-1189571-3	4-3-7687549	5511939-2-3	2-2-5129995	3933756-2-3	862748-3-0	6264986-3-0	4842590-3-0	204719-2220940-0	7365338-2-3	6549155-2692584-4	7961464-3-0	4-7779511-0	7961464-203069-0	4-3-0	4-2897120-5843652	4462955-3-0	4172260-1884018-0	7125452-5452331-3	2146420-2-2105990	7365338-4939059-3	487772-3-0	4-8744979-0	2357297-8464878-0	2357297-8464878-648306	2-2-3	8890486-2-3	2357297-7035403-0	989750-8464878-0	2357297-6422650-0	4-850565-0	4-229228-1806757	2357297-8464878-2735440	5837410-2220940-0	9124513-2220940-0	3190640-3-0	232685-3-0	1-4-0	3754553-2-3	7365338-2498387-3	8914053-3-0	4-2-8569821	6156406-203069-0	2146420-2-3	2357297-3046713-0	4-9529673-3	4-229228-5843652	2357297-4084855-8485805	4-330426-0	1991427-257081-0	2357297-8464878-1931282	4-6146446-3	4-7402407-3	4-3-9920247	2357297-3-0	1500379-2220940-0	2357297-7483368-0	4-3-5095056	34981-3-0	1991427-3-0	4-6301848-0	5639512-3-0	4-2897120-2276613	3110125-8464878-0	4-5902655-0	9015438-2-3	9512302-3-0	4-8448922-0
assemblage-271-278	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	121	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-950-291	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-261-263	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	151	101	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-526-377	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	49	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	18	0	37	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-536-381	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	13	25	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-530-672	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	8	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-149-384	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	40	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	262	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	42	0	0	0	0	0	6	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-479-511	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	38	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-490-497	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	59	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	210	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	40	0	0	0	0	0	14	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-667-580	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	48	0	0	273	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	7
