Assemblage_Name	3027240-1-4	3-1411309-4	3-1-6351905	2890116-6714213-2	3-216346-4	1-307611-3509418	8312778-1-4	3-4253318-4	2890116-307611-2	5517934-307611-6912056	1-307611-249597	5406263-1-4	3-1-1	3-1-4	1-307611-3777424	3-9999464-4	5472849-307611-2	7041854-1-4	1-307611-1716953	7226608-1-4	1-307611-1420715	3975334-307611-3896269	1-652784-2	9815453-307611-3896269	3-1-9972908	3-7329479-4	3-1013817-4	5586833-307611-6912056	3148422-1-3338836	3445453-0-4	1-1-3	2952528-7234405-3896269	4840577-1-3338836	2890116-5105498-2	1-6034273-9545084	6625266-307611-2	1-307611-4646548	1482062-307611-3896269	1-307611-2	3-7424961-4	3-1-1610149	1-307611-1080743	3-1-3875312	5406263-1-8753407	1-6034273-2	3-2116349-4	5845587-307611-2	7244294-307611-3896269	3205415-307611-2	7515185-1-3	9488148-307611-2	3-7442538-4	3-1-3338836	1-8129999-3896269	5517934-307611-2	4573597-307611-249597	1-307611-1022070	218516-307611-2	76425-1-4	1-2900849-3896269	735888-307611-3896269	1-2380393-2	8572074-9720291-9842120	1-398548-3896269	1-1328407-3	7041854-1269175-4	1-7889069-2	1-3123713-3896269	1722578-307611-2	3-1-3895799	185893-0-4	1-3979391-1022070	5517934-8916199-2	1-307611-3896269	9166412-307611-2	2952528-307611-3896269	1217736-8129999-3896269	1-9957130-2	1-6643582-2	3-1-8864954	825902-9138815-4	1-307611-8801131	825902-2-4	3-0-2625755	675344-307611-2	3-9332986-4	3-1-6781864	6268656-4-2	1884012-1-3	3904263-1-4	3-0-4	3-9661654-4	3-0-4286410	4972401-307611-2	7515185-1-5058418	1-7295504-3896269	825902-566365-4	1066180-307611-2
assemblage-444-418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	9
assemblage-491-652	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	10
assemblage-956-899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	12
assemblage-397-779	0	0	0	0	0	0	0	0	0	0	37	0	0	132	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	47	0	57	0	0	0	0	0	0	0	26	0	30	0	0	0	0	21
assemblage-390-801	0	0	0	0	0	0	0	0	0	0	23	0	0	177	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	33	0	56	0	0	0	0	0	5	0	37	0	21	0	0	0	0	7
assemblage-953-850	0	0	0	0	0	23	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	89	0	0	0	0	0	14	0	71	0	0	0	0	0	0	15
assemblage-122-489	0	0	0	0	0	0	0	0	0	0	41	0	0	99	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-255-927	0	0	0	0	0	0	26	0	0	0	32	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	38	0	0	0	0	0	0	8	0	83	0	0	0	0	0	0	0	37	0	0	0	0	9	0	13
assemblage-868-649	0	0	0	0	0	8	0	0	0	0	48	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	10	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	8	0	0	0	0	0	0	20
assemblage-156-102	0	0	0	0	0	0	0	0	0	0	19	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	10	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	2	0	0	97	0	54	0	0	7	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
