Assemblage_Name	8207221-0-3	4-1875293-2739262	4-4887562-3947889	3773315-0-3	2166456-7487339-1	0-0-6304594	7831614-8244056-8589524	7831614-8244056-3	5293776-0-3	7300325-9439250-1	8207221-929525-3	9501243-3860803-3	8207221-0-1663873	4-97663-2739262	4-4887562-5957414	8321790-0-3	0-4103517-2414870	7126896-4-2739262	9501243-8381675-3	7108486-4103517-6304594	4-9968485-7164720	8207221-4667714-3	4-7745393-445476	8207221-0-2948167	4-4887562-2739262	4-1909130-4715500	7831614-8776633-3	0-4103517-6304594	9501243-7744247-3	2502173-9041106-6304594	0-0-1	4-4887562-1225719	6080373-4887562-7164720	2502173-4103517-6304594	879879-0-4449125	391717-0-3	4-4887562-7034571	4-1909130-1906427	4-7487339-9418514	2502173-8862954-5141597	1-2-4	4-2470249-445476	8207221-0-4449125	4-880326-1906427	4137383-0-3	4-3323347-1	4-4887562-6852726	9672039-0-3	8300519-0-3	4-5925713-7164720	4-9439250-1	6329981-8244056-3	9655959-4887562-7164720	9501243-0-3	4-4887562-8940479	8207221-0-7797694	2038249-0-3	4-4634246-3947889	9501243-0-3009404	7864810-0-3	4-4-2739262	4-9501788-7164720	2502173-4103517-3065585	1980317-9439250-1	8207221-9375265-3	4-6973950-7164720	4-2747585-7164720	4-4887562-7164720	1647353-6302350-6304594	2516516-0-3	9501243-249260-3	4-9439250-4715500	4-4887562-2820100	4-2256672-7164720	862007-9375265-3	4-6923154-7164720	2262132-0-3	8207221-0-9212028	8207221-0-1716991	2731182-0-3	7831614-0-3	4-0-1	9501243-7744247-6608057	747565-0-3	4-7487339-1	2502173-6302350-6304594	4-2470249-167767	4-4-0	8207221-1652727-3	2502173-5608888-5141597	4262556-0-3	8207221-725530-3	5547603-4887562-7164720	2502173-6302350-726472	4-2592034-7164720	4-7487339-5698709	9896514-5608888-5141597
assemblage-249-243	76	0	0	0	0	0	0	0	0	0	0	19	0	0	9	0	0	0	0	0	0	0	6	0	21	0	0	23	0	0	0	0	0	11	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	7	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	42	0	0	0	0	0	0	12
assemblage-902-848	37	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	9	0	0	67	0	0	0	0	0	9	0	0	0	0	24	0	0	54	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	77	17	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-692-760	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	27	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	4	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	11	0	0	0	0	78	0	0	0	0	0	0	22
assemblage-894-922	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	7	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	14	0	0	0	0	56	0	0	0	0	0	0	32
assemblage-503-216	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	13	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	89	7	0	0	0	154	0	0	0	0	0	0	18
assemblage-871-116	24	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	136	0	0	0	0	0	0	0	0	0	0	0	0	28	0	3	0	92	0	0	0	0	150	0	0	0	0	0	0	24
assemblage-777-970	73	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	79	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	14	0	0	0	0	42	0	0	10	0	0	0	14
assemblage-918-961	84	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	67	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	54	0	0	22	0	0	0	17
assemblage-767-570	83	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	121	0	0	0	0	24	0	0	0	0	0	0	9
assemblage-754-596	101	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	110	0	0	0	0	22	0	0	0	0	0	0	6
assemblage-920-795	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	110	0	0	0	0	0	12	0	0	0	0	0	0	9	0	0	0	118	0	0	0	0	72	0	0	0	0	0	0	13
assemblage-124-770	66	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	12	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	76	0	0	0	0	0	0	18
assemblage-572-227	118	0	29	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	6	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	12
assemblage-567-217	18	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	147	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	67	0	0	0	0	16	0	0	0	0	34	9	19
assemblage-300-862	114	0	9	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	70	0	35
assemblage-523-779	114	0	6	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	13	0	38	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	5	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	7
assemblage-521-793	94	0	70	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	22	0	0	239	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	18
