Assemblage_Name	1765219-8415992-2060195	2326857-2-2060195	5268085-8415992-2060195	0-2-8500411	8891729-8652226-1292827	2-1989281-341232	4885425-8979183-491565	4885425-9328057-794016	0-2034706-2060195	4885425-0-3395526	0-8415992-453625	7883922-4586245-7814458	642869-7998449-0	4885425-2238226-794016	642869-3623268-0	0-8415992-2060195	2-1-1600550	642869-4150028-6644674	6862757-5864143-2060195	4885425-8119092-1433874	0-3938010-2060195	8007406-1-4	0-9891128-2060195	1513079-8508547-415626	642869-0-0	5167017-5527570-2060195	6806550-7111232-2060195	0-5766442-2060195	2-1-3	0-45194-2060195	2-1989281-7814458	1795557-8415992-2060195	642869-4150028-0	0-8415992-7930389	4861287-4846002-2060195	8007406-8430335-4	0-2638435-2060195	0-1913323-2060195	4-0-2803005	3208973-8508547-0	1795557-3633412-2060195	8952968-8415992-2060195	9769673-0-794016	4885425-8119092-8291650	0-8415992-6239633	1-2207802-1292827	642869-4150028-3611495	2736619-0-794016	0-3054152-2060195	2-6763299-7814458	0-7708601-2060195	0-3083502-2060195	5887267-1-3	6737329-8119092-1433874	5202635-8415992-6239633	6979408-2-5423091	5167017-8415992-1749644	1513079-8508547-0	9327075-2658322-5423091	1602152-0-794016	2-1-6106553	4885425-2554139-794016	642869-4150028-1953464	4885425-0-8832100	1513079-8339740-0	0-6329587-2060195	5167017-8415992-2060195	0-6875237-2060195	0-4331010-2060195	642869-4150028-7285187	0-529390-2060195	4885425-0-794016	7883922-1989281-7814458	0-3083502-3871257	5167017-2628892-2060195	642869-8406953-0	2869821-2-2060195	4551655-4150028-0	0-8415992-6571495	2419490-2268523-2060195	642869-4150028-1302741	0-3817699-2060195	642869-3470499-0	4885425-8979183-794016	4885425-0-7899961	8128284-0-1292827	2419490-8415992-2060195	3322270-0-794016	1-0-1292827	4451617-1-3	0-8415992-4787054	8007406-5234965-4	2708778-0-794016	0-2-2060195	1288865-8415992-2060195	0-4846002-2060195	340569-8415992-2060195	2-1-7814458	4-0-794016	8891729-8652226-1037127	1-8652226-1292827	1513079-8508547-2246434	8177876-8415992-7930389	4885425-0-1433874	6763212-1-4	2904541-0-0	0-8132196-2060195	2970147-8415992-2060195	0-8415992-5624016	7620549-0-794016	4-4124911-794016	6979408-2658322-5423091	2985302-4150028-0
assemblage-444-418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	20	15
assemblage-419-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	9	23
assemblage-843-512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	137	0	0	0	0	17	0	0	0	0	0	0	73	0	0	0	0	37	0	0	0	0	0	0	23
assemblage-181-462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	97	0	0	122	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	67	0	46	0	0	0	0	0	21	0	0	0	0	0	20
assemblage-390-801	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	43	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	43	0	0	0	0	59	0	84	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-397-779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	43	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	45	0	0	0	0	76	0	72	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-283-928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	40	0	0	0	69	0	179	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-877-568	0	0	0	0	30	0	0	0	4	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	56	0	6	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	68	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	88	0	0	0	0	8	14	21	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-99-491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	30	0	0	0	55	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	42	0	0	0	0	0	0	0	5	0	0	0	0	0	14
assemblage-687-960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	8	0	0	0	0	0	0	64	0	106	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	65	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	31	0	0	0	0	0	6	0	0	0	25	0	0	0	0	0	0	0	0	20
assemblage-177-111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	12	0	0	0	0	0	0	63	0	94	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	71	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	37	0	0	0	0	0	7	0	0	0	22	0	0	0	0	0	0	0	0	24
assemblage-174-110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	71	0	0	23	0	0	0	25	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	15	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-906-831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	8	0	0	0	38	0	0	0	0	0	0	42	0	84	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	44	0	0	0	0	4	0	0	0	0	0	0	0	0	27
