Assemblage_Name	2-8130213-1	104545-4-1	4606074-0-0	3-0-7042298	309316-0-0	578744-1-4	3-274447-4	2667556-0-0	8977593-4-1	563464-0-2241464	0-8379150-0	5743022-0-0	2-2800190-1	4-2260164-0	2600866-0-2	0-0-4718252	2069485-0-0	5792349-0-2	1-1195195-0	563464-0-0	0-2498257-0	2673677-0-0	0-461617-0	0-5941592-0	3-1-4	2-4-723337	563464-0-9035845	3-1-8599116	0-0-0	5651812-3-0	2-7380912-1	3-0-5948668	4978635-0-2	0-0-8643351	0-0-4655099	3-0-1952542	2-4-7312160	0-0-9806539	0-0-6070328	2-4-4986646	2-4-1	567410-4-1	3-0-2	7179666-0-0	2-4-4757999	0-8602979-0	0-2919302-0	2-6847629-1	2-4-7802169	2-1567527-1	0-0-2459091	2-4-2175063	4-3-0	4-3-1	2-4-4362565	0-3336468-0	4-9630970-0
assemblage-426-380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	12	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	152	0	103	0	0	0	0	0	0	0	0	0	27	29	0	0	22
assemblage-513-431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	26	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	167	0	100	0	0	0	0	0	0	0	0	0	8	32	0	0	8
assemblage-486-541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	8	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	185	0	95	0	0	0	0	0	0	0	0	0	20	31	0	0	23
assemblage-269-372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	13	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	211	0	101	0	0	0	0	0	0	0	0	0	27	20	0	0	9
assemblage-363-511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	12	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	195	0	112	0	0	0	0	0	0	0	0	0	13	24	0	0	17
assemblage-363-465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	24	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	215	0	114	6	0	0	0	0	0	0	0	0	21	10	0	0	10
assemblage-471-212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	0	0	7	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	239	0	76	0	0	0	0	0	0	0	0	0	11	30	0	0	9
assemblage-362-460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	14	24	0	0	0	0	0	9	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	197	0	88	0	0	0	0	0	0	0	0	0	11	31	0	0	12
assemblage-511-550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3	0	0	0	0	0	20	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	200	0	118	0	0	0	0	0	0	0	0	0	14	42	0	0	15
assemblage-543-450	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	0	0	0	3	0	0	0	0	11	0	0	0	89	0	0	0	0	12	0	0	0	0	0	0	279	0	49	0	0	0	0	0	0	0	0	0	20	14	0	0	8
assemblage-488-519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	24	0	0	0	107	0	0	0	0	10	0	0	0	0	0	0	267	0	37	0	0	0	0	0	0	0	0	0	9	14	0	0	30
assemblage-510-424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	8	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	266	0	47	0	0	0	0	0	0	0	0	0	12	20	0	0	28
assemblage-576-508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	21	0	0	0	0	9	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	291	0	29	0	0	0	0	7	0	0	0	0	6	0	0	0	16
assemblage-556-482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	19	0	0	0	0	20	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	254	0	26	0	0	0	0	7	0	0	0	0	10	0	0	0	18
assemblage-444-561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	20	0	0	0	0	10	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	276	0	39	0	0	0	0	16	0	0	0	0	3	0	0	0	17
assemblage-365-560	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	31	10	0	0	0	0	0	0	0	100	0	9	0	0	0	0	0	0	0	0	0	266	0	43	0	0	0	0	0	0	0	0	0	13	0	0	0	17
assemblage-489-537	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	124	0	5	0	0	0	0	0	0	0	0	0	261	0	36	0	0	0	0	0	0	0	0	0	5	0	0	0	30
assemblage-509-331	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	35	8	0	0	0	0	0	0	0	95	0	6	0	0	0	0	0	0	0	0	0	269	11	41	0	0	0	0	0	0	7	0	0	0	0	0	0	12
assemblage-389-481	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	52	2	17	0	0	4	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	197	23	31	0	0	0	0	0	0	0	0	0	12	0	0	0	12
assemblage-368-631	0	0	0	0	0	0	35	0	6	0	0	0	0	0	0	0	0	0	0	57	0	15	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	221	0	44	0	0	0	0	0	0	0	0	0	14	0	0	0	31
assemblage-577-441	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	10	0	0	0	53	0	14	0	0	4	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	214	11	52	0	0	0	0	0	0	0	0	0	2	0	0	0	25
assemblage-510-526	26	0	0	9	0	0	61	0	0	0	10	0	0	0	0	0	0	0	0	71	0	10	0	0	19	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	121	9	69	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-536-322	14	0	0	9	0	0	64	3	0	0	2	0	0	0	0	0	0	0	0	79	0	0	0	0	20	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	151	15	47	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-571-480	35	0	0	9	0	0	72	0	0	0	8	0	0	0	0	0	0	0	0	68	0	0	0	0	15	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	115	6	74	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-569-452	30	0	0	0	0	0	82	20	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	33	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	70	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-556-407	53	0	0	0	0	0	82	23	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	30	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	55	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-266-508	46	0	0	0	7	0	101	26	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	36	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	45	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-504-605	71	0	0	0	0	0	69	18	0	1	0	0	0	0	0	0	0	0	0	33	0	0	0	0	52	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	29	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-443-448	66	0	0	0	0	0	54	26	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	41	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	27	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-614-342	78	0	0	0	0	0	74	18	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	43	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	23	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	10
