Assemblage_Name	9705059-3182493-9583226	0-3-1222915	1-7985853-3	2-2161011-3	0-3-266288	2-2195893-2150761	8860931-3-266288	1-2391957-7897268	1-4417302-7897268	1-3-7897268	191472-3-4	3-2-5695130	5804975-3-3	0-3-6733991	6772853-3-3	5042396-3-9630333	1-3182493-6226936	1-4368482-8025433	2679990-3298772-3	1-3-8754942	2679990-2248787-3369476	1-1-0	1-3-7597805	4410576-2195893-3	3-8562565-0	3-3-0	3-3-3	0-8271676-225523	5576363-3-225523	2-914440-4	2679990-2248787-9167123	2-6578657-4	2679990-9497906-3	3-2-0	2909802-3-8025433	3-6014416-5436802	2-7591565-5414765	1-3-6498562	0-3-4	3-2-8177489	1-3182493-3333329	7596281-3-3	2679990-592175-3	1-3-6283811	2-2-3642377	1-6474487-7897268	8695182-3-225523	8187994-2-0	0-3-5611314	1-3-8584778	2-8099407-4	2977780-8562565-0	2679990-2248787-3	2-3-4	2-3-3	4339807-3-225523	6238166-1676692-1	2679990-3-3	2-7054401-5414765	3-8562565-6013739	2-2-4	2-2195893-3	1-3-8025433	1-3-3	5260754-1-0	3043437-2285035-4	3-8562565-3207838	2679990-7281488-3	3-4522764-5436802	1-3845524-7897268	3-4522764-5913815	4762443-2-0	3067207-2-0	1-3182493-9583226	9600307-8562565-0	9278683-3-225523	461910-2285035-4	4459080-3298772-3	3-5019756-5436802	1-9899949-7897268	1-3182493-8754942	5862823-2-0	0-3-225523	3-1905800-0	7793045-2161011-3	3746395-1676692-1	5683313-2248787-3	8659397-3-4	3746395-1676692-6247975	3-7730484-0	278169-3838511-225523	2-9376804-3
assemblage-340-403	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	60	12	8	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	38	17	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	35	0	0	13	0	0	8	0	0	51
assemblage-621-505	0	0	0	0	0	0	0	0	0	24	0	0	0	0	6	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	44	23	5	0	0	86	0	0	0	0	0	4	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	55	24	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	54	0	0	12	0	0	0	0	0	34
assemblage-499-650	0	23	0	4	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	31	7	13	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	0	0	25	12	0	26	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	58	0	0	15	0	0	0	0	0	24
assemblage-731-334	0	21	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	25	8	19	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	27	42	0	0	0	0	0	0	16	15	0	36	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	51	0	61	0	0	10	0	0	0	0	0	36
assemblage-540-521	0	19	0	0	0	0	0	0	0	52	6	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	33	0	39	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	11	33	0	0	0	0	0	0	23	9	0	28	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	59	0	76	0	0	7	0	0	0	0	0	32
assemblage-613-404	0	9	0	15	0	0	0	0	0	38	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	30	0	25	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	62	18	0	0	0	0	0	0	9	19	0	9	0	31	0	0	0	0	0	0	0	21	0	0	0	0	0	0	18	0	110	0	0	16	0	0	0	0	0	31
assemblage-227-549	0	11	0	21	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	41	0	31	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	51	11	0	0	0	0	0	0	8	27	0	13	0	16	0	0	0	0	0	0	0	6	0	0	0	0	0	0	31	0	109	0	0	9	0	0	0	0	0	23
assemblage-545-414	0	5	0	18	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	39	0	34	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	50	7	0	0	0	0	0	0	7	13	0	12	0	26	0	0	0	0	0	0	0	15	0	0	0	0	0	0	34	0	120	0	0	6	0	0	0	0	0	30
assemblage-401-274	0	0	0	53	0	0	0	0	0	26	0	0	0	0	0	0	0	0	19	0	20	0	0	0	0	0	0	0	0	0	0	0	0	140	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	17	0	0	0	15	0	0	0	0	0	0	0	6	0	0	0	0	0	0	22	0	55	0	0	0	0	0	0	0	0	50
assemblage-576-481	6	5	0	43	0	0	0	0	0	27	0	0	0	0	0	0	0	0	14	0	24	0	0	0	0	0	0	0	0	0	0	0	0	128	0	51	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	38	0	0	0	0	0	0	0	0	10	0	0	0	11	0	0	0	0	0	0	0	7	0	0	0	0	0	0	21	0	77	0	0	0	0	0	0	0	0	23
assemblage-441-323	0	0	0	48	0	0	0	0	0	32	0	0	0	0	0	0	0	0	15	0	19	0	0	0	0	0	0	0	0	0	0	0	0	114	0	36	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	41	0	0	0	0	0	0	0	0	19	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	28	0	76	0	0	0	0	0	0	0	0	49
assemblage-360-364	0	0	0	49	0	0	0	0	0	75	0	0	0	0	0	0	0	0	27	0	8	0	0	0	0	0	0	8	9	0	0	0	0	125	0	18	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	38	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	62	5	0	0	0	0	0	0	0	44
assemblage-486-416	0	0	0	55	0	0	0	0	0	64	0	0	0	0	0	0	0	0	17	0	16	0	0	0	0	0	0	0	5	0	0	0	8	107	0	22	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	77	7	0	0	0	0	0	0	0	45
assemblage-641-457	0	0	0	61	0	0	0	0	0	70	0	0	0	0	0	0	0	0	18	0	21	0	0	0	8	0	0	0	14	0	0	0	0	110	0	33	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	43	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	49	4	0	0	0	0	0	0	0	44
assemblage-538-178	0	0	0	16	0	0	0	0	0	115	0	0	0	0	0	0	0	0	12	0	0	0	0	0	21	0	0	0	9	0	0	0	5	113	0	10	0	0	0	0	0	0	0	0	0	15	0	9	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	6	0	0	0	0	0	0	24	34
assemblage-430-391	0	0	0	29	0	0	0	0	0	138	0	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	4	0	0	0	0	86	0	12	0	0	0	0	0	0	5	0	0	17	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	11	0	0	0	0	0	0	23	38
assemblage-544-495	0	0	0	33	0	0	0	0	0	122	0	0	0	0	0	0	0	0	8	0	0	0	0	0	11	0	0	0	9	0	0	0	7	110	0	17	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	10	0	0	0	0	0	0	9	33
assemblage-544-611	0	0	0	21	0	0	0	0	0	114	0	5	0	0	0	0	0	0	31	0	0	0	0	0	9	0	0	0	18	0	0	0	0	69	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	14	0	0	0	0	36	0	0	0	0	0	0	8	12	27
assemblage-571-570	0	0	0	29	0	0	0	0	0	84	0	5	0	0	0	0	0	0	28	0	0	0	0	0	8	0	0	0	13	0	8	0	0	57	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	6	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	19	0	0	0	0	47	0	0	0	0	0	0	2	16	49
assemblage-539-478	0	0	0	26	0	0	0	0	0	70	0	5	0	0	0	0	0	0	16	0	0	0	0	0	8	0	0	0	21	0	8	0	0	76	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	22	0	0	0	0	35	0	0	0	0	0	0	0	11	46
