Assemblage_Name	4363126-3-2	2-3-8338296	6441670-3-2	5219962-3-4	2-3253914-2	0-4-2659511	0-7070748-4	3-3-5406091	1725925-3-2	0-3157147-4	0-8647199-4	4-5448828-3450281	9456011-8954137-4	7033135-2-3450281	1-8645352-2	2013564-4-4	7405693-9956600-4	0-5237066-4	4007745-4-3027235	7405693-8954137-1366898	3854589-4-4930098	7502991-4372892-4232200	9784565-1049097-4	2-3204267-2	3-2-5642900	4363126-6865945-2	4544868-3-2	2-9712952-2	2-3792762-2	9668214-3-2	2013564-2371518-4	3-3-4	8691226-4-4	5165082-2989059-3450281	1554987-2-3450281	0-4-4	2-3-5348958	4675050-0-0	0-4-7751094	258360-9878449-4	3-3-1323936	7287641-4-4	0-4-6697543	7405693-8954137-4	7405693-8954137-1560210	4719668-8954137-4	9390171-3-8338296	682206-3-2	3414814-4-4	7405693-9263072-4	2-3-4946789	8053559-3-2	1627855-3-2	5193357-3844750-4	4007745-4-4154718	2-3-2	3-3-5073066	0-8954137-2950730	2-3-5367810	8352338-8647199-4	4007745-4-4930098	0-8846655-4	0-7947594-4	1-3-2	0-141306-4	3786474-7029872-4	7405693-8954137-158742	3786474-9767027-4	8721563-8954137-4	5428043-8954137-4	5366099-3-2	0-4-6259526	3-3759514-4	2029889-3-2	1-0-0	0-8954137-7026334	5817388-4-4	0-6520023-4	0-1998000-7751094	4-2-1561475	4-2-3450281	7405693-8954137-9675882	2-7762486-2	0-7766596-4	0-4-5197382	4996163-8954137-4	5366099-6774223-2	1480813-3-2	9784565-4-4	936612-4-4	0-8954137-4	3786474-8772771-4	3786474-4372892-4	3-9587356-4	2-3-2045845	4007745-4-4	9784565-4-451738	0-4-9153716	8721563-8954137-6013205
assemblage-418-424	0	0	0	0	0	0	0	0	0	0	0	0	4	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	119	0	0	0	0	15	0	0	74	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	6	0	0	11	0	0	0	0	0	0	0	0	0	0	0	8	0	64	0	0	0	0	0	0	0	0	0	34	0	24	0	0	7	0	0	35
assemblage-467-505	0	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	120	0	0	0	0	14	5	0	62	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	21	0	0	18	0	0	0	0	0	0	0	0	0	0	0	13	0	68	0	0	0	0	0	0	0	0	0	38	0	12	0	0	2	0	0	27
assemblage-506-441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	120	0	0	0	0	4	0	0	81	6	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	53	0	23	0	0	0	0	0	46
assemblage-731-334	0	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	107	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	7	0	0	17	0	0	0	0	0	0	0	0	0	0	12	0	0	48	0	0	0	0	0	0	0	0	0	77	0	15	0	0	4	0	0	28
assemblage-511-565	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	0	4	0	0	107	0	0	0	0	11	0	0	58	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	6	0	0	50	0	0	0	0	0	0	0	0	0	60	0	28	0	0	7	0	0	34
assemblage-607-312	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	96	0	0	0	0	2	0	0	59	0	0	0	0	0	0	18	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	43	0	44	0	0	20	0	0	26
assemblage-524-415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	85	0	0	0	0	13	0	0	47	0	0	0	0	0	0	27	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	51	0	38	0	0	33	0	0	35
assemblage-571-521	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	76	0	0	0	0	16	0	0	54	0	0	0	0	0	0	17	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	39	0	28	0	0	31	0	0	47
assemblage-380-571	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	80	0	0	0	0	11	0	0	44	0	0	0	0	0	10	26	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	15	0	9	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	29	0	61	0	0	24	0	0	41
assemblage-505-378	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	97	0	0	0	0	0	0	0	35	0	0	0	0	0	16	17	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	4	0	14	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	39	0	56	0	0	26	0	0	48
assemblage-405-545	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	99	0	0	0	0	0	0	0	43	0	0	0	0	0	19	21	0	0	0	0	94	0	0	0	0	0	0	0	0	0	12	9	0	5	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	31	0	60	0	10	20	0	0	26
assemblage-522-542	0	7	0	0	7	0	0	0	7	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	77	7	0	0	0	0	0	0	29	0	0	0	0	0	5	0	0	0	0	0	117	0	0	0	0	15	0	0	0	0	0	0	10	26	0	0	0	0	0	0	0	0	0	0	0	18	0	7	0	0	0	0	0	0	0	9	0	65	0	0	10	0	0	47
assemblage-634-715	0	18	0	0	9	0	0	0	11	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	85	7	0	0	0	0	0	0	30	0	0	0	0	0	5	0	0	0	0	0	95	0	0	0	0	14	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	18	0	5	0	0	0	0	0	2	0	4	0	80	0	0	2	0	0	36
assemblage-436-466	0	14	0	0	8	0	0	0	11	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	62	12	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	13	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0	0	0	0	0	5	0	77	0	0	12	0	0	54
assemblage-535-477	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	80	6	0	0	0	0	0	0	21	0	0	18	0	0	0	0	0	0	0	0	108	0	0	0	0	38	0	0	0	0	0	0	4	23	0	0	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	0	0	28	0	0	0	25	0	0	0	0	0	80
assemblage-518-554	6	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	13	0	0	0	0	100	17	0	0	0	0	0	0	35	0	0	22	0	0	0	0	0	0	0	0	75	0	0	0	0	34	0	0	0	0	0	0	11	28	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	25	0	0	0	30	0	0	0	0	0	55
assemblage-486-512	0	11	0	0	0	0	4	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	9	0	0	0	0	92	8	0	0	0	0	0	0	24	0	0	12	0	0	0	0	0	0	0	0	98	0	0	0	0	41	0	0	0	0	0	0	5	25	0	0	0	0	11	0	0	0	0	0	0	8	0	0	0	0	0	0	0	26	0	0	0	21	0	0	0	0	0	73
assemblage-499-594	8	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	11	0	0	14	16	0	0	0	0	7	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	43	0	0	21	0	0	0	0	11	0	0	0	49	0	0	0	0	40	0	9	0	0	0	0	20	23	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	5	0	0	0	0	0	61
assemblage-557-369	13	0	0	0	0	0	7	0	0	5	24	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	7	0	0	0	0	0	0	0	92	0	0	0	7	0	0	0	52	0	0	11	0	0	0	0	16	0	0	0	38	0	0	0	0	32	0	0	0	6	0	0	15	37	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	11	0	0	0	0	0	61
assemblage-392-520	10	0	0	0	0	0	0	0	0	7	31	0	0	0	0	0	0	0	6	0	0	10	6	0	0	5	0	9	0	0	0	0	0	0	0	88	0	0	0	7	0	0	0	55	0	0	17	0	0	0	0	15	0	0	2	50	0	0	0	0	32	0	7	0	0	0	0	17	29	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	4	0	0	0	0	0	56
