Assemblage_Name	5115906-0-6803285	5115906-3842697-9394102	7862611-4-9911933	1818997-4-8230750	6687823-3-8210386	1-752090-4846109	6073300-752090-3	7532521-4004723-3	7532521-8200512-3	2-9100171-0	1-3877565-0	3338877-9028760-3	3444140-4-0	1-9028760-1723471	1882624-3-982222	7532521-752090-6812055	7532521-752090-3	1-7895964-0	6113945-0-9394102	1-7589644-3168279	6649760-0-6803285	7532521-3424357-3	1019872-3-4511869	7469857-0-9394102	6687823-3-3	5115906-0-9394102	6732666-7895964-0	1-7895964-2048601	1-9028270-9391720	1-752090-5454060	2436793-7895964-0	1019872-3-2187811	6834572-1038637-6803285	7532521-2628421-3	1999524-752090-3	7532521-4514537-3	1-3877565-4135489	7532521-3135340-3	7532521-752090-7712456	1-147179-3168279	1-752090-3315198	7532521-752090-2418005	9124437-7895964-5941892	7532521-4117495-3	1-752090-5002877	1-5822290-3	7532521-752090-3577714	4108189-752090-3	7532521-752090-7151458	2276689-752090-9343871	5115906-1038637-9117073	7532521-1985371-3	7532521-752090-6262540	7532521-5575675-3	2865866-991391-9796383	5115906-0-1602210	9296468-0-9394102	3608574-752090-3	7532521-752090-3751262	1019872-3-5558022	1-5341711-0	1-7895964-3096208	7532521-9785122-3	2-3-4	1-752090-8456302	8055773-752090-3	5115906-1038637-6803285	5104145-0-9394102	9124437-695746-0	5115906-0-2338531	1-9028760-9391720	9124437-2348567-355044	1315111-6808228-0	2-9100171-1167767	5115906-3389940-9394102	8649418-752090-3	1-3-3	3962167-752090-3	1-9496861-0	1-752090-8850008	3538788-7895964-0	9859918-752090-3	5115906-3554990-9394102	2-4121147-1167767	1-7895964-4590598	2873535-752090-4499588	7532521-752090-696542	7532521-4271787-3	9124437-7895964-0	7532521-752090-8196809	1-752090-3780246	8550934-991391-9796383	1000764-3-982222	1818997-4-9911933	1-3877565-3248551	5115906-0-8023069	9124437-7895964-355044	1-9028760-3	1422707-4-9911933	5115906-7944577-9394102	1-6808228-0	1-7895964-6043114	3538788-7895964-6182506	1-5812565-3	7532521-5590153-3	9124437-991391-9796383	1-752090-3	2276689-752090-585828	4608923-3-982222	1-6061581-3	9124437-7895964-9796383	5115906-0-9080715	5115906-0-1022345	1-1198911-3	2276689-752090-3	9124437-7895964-4082990	1-3-982222	4503307-9100171-1167767	448087-752090-3	1797846-752090-3
assemblage-250-731	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	52	35	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	7	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	13	0	0	148	0	0	17
assemblage-747-590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-96-896	34	0	22	0	0	0	0	0	0	19	23	0	25	0	0	0	28	18	0	0	0	0	0	0	7	65	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	11	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	50	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	41	0	0	36
assemblage-759-483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	129	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	24	12	0	25
assemblage-677-301	17	0	0	0	0	0	0	0	0	0	5	0	34	0	0	0	16	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	60	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	88	0	0	15
assemblage-700-275	63	0	0	0	0	0	0	0	0	47	14	0	7	0	0	0	20	54	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	22	0	0	0	0	0	4	0	0	24	0	0	0	0	0	0	0	0	0	14	0	0	24
assemblage-240-941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	15	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-467-749	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	301	0	13	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-636-922	25	0	0	0	0	0	0	0	0	0	16	0	33	0	0	0	20	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	38	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	68	0	0	27
assemblage-678-943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	42	20	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	21	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	96	0	0	0	5	0	0	0	0	0	0	0	0	7
