Assemblage_Name	5859782-0-0	5121104-6391506-2091743	5121104-9272873-0	5626893-6391506-675677	9001735-1-3193356	4-5515793-4	3123612-0-0	6575676-9082417-0	4-6571811-4	8052477-128939-4	4-6490574-5520171	8052477-5515793-4	5121104-9836417-0	5121104-273487-0	4-1-5520171	4-8805967-4890488	4222163-0-0	4-1-8887564	9795560-6571811-4	4412506-5991429-5520171	9705004-596049-4	6575676-0-0	3123612-0-3300086	3-1-4	4-4095784-8566752	4-464683-3	6288304-5515793-4	7938914-7550734-5520171	5121104-0-0	3749273-6490574-5520171	8052477-3689572-4	8759495-1-4	8052477-7566697-4	3676801-0-0	5121104-6777480-0	4412506-7550734-9210674	3095749-0-0	4412506-7550734-3296487	9635968-0-0	5389253-5515793-4	4350128-3-3	5121104-7086715-0	4-1-8179353	9001735-1-4	8052477-910541-9177755	3732003-2335905-0	4-3-6295604	5720732-910541-4	4-8805967-8566752	5121104-6391506-675677	9389015-7550734-5520171	0-0-2	4-1-8566752	5121104-0-6533007	8528174-5515793-4	6087608-5515793-4	3848683-5515793-4	4-585395-3157174	5121104-838047-0	6350095-3-4004353	8451390-6391506-2091743	5121104-0-4462825	4-3-9532356	4-7859373-4	1028514-0-0	5121104-731054-0	5121104-9035833-0	4-3-0	8965283-3-3	3123612-2931773-0	5121104-2550879-0	8052477-5515793-7126526	8716145-7550734-5520171	1028514-0-8790047	7746571-1-4	4-3-9892457	9705004-5967286-4	8052477-910541-4	4416525-910541-4	4-1233986-3	9514744-5515793-4	4-3-5621516	5121104-7222685-0	5121104-3201867-0	1822710-1-4	1622095-5515793-4	5121104-5253160-0	4-3-8537867	4-7203825-3	5121104-7844091-0	4-4046407-3	9270648-3-3	4-5771462-3	7893438-0-4534443	6003029-1-4	5121104-0-7949479	4000308-1-4	9587616-7222685-0	8052477-910541-4456130	4-1-4	8052477-9085920-4	4412506-7550734-5520171	2078633-9446131-675677	5121104-6391506-0	9172828-6391506-2091743	3732003-3343113-0	1028514-2034469-8790047	9705004-1-5406995	4-2996820-5520171	4-5515793-3157174	4-3-2552569	4-3-4436161	8550126-0-0	4-3-3	5121104-292218-675677	5121104-0-1176032	7893438-1586823-4534443	3848683-5515793-7546302	4-3-7483378	4-3-9701308	4-5416804-3	5121104-1671793-0	5121104-0-1192649	5121104-0-4534443	5121104-7336391-0	8451390-6391506-1799487	9705004-1-4	5121104-0-7970509	4-9633757-3	5121104-9446131-675677	5121104-0-5423062
assemblage-250-731	0	0	0	0	0	53	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-747-590	0	0	0	0	0	0	21	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	13	29	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	17	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	26	0	28	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-96-896	0	0	0	0	0	53	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	19	0	0	0	20	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	33	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-759-483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	17	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	6	0	21	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	21
assemblage-677-301	0	0	0	0	0	34	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	20	0	0	0	38	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-700-275	0	0	0	0	0	61	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	46	0	0	24	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	8	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-240-941	0	0	0	0	0	0	12	0	0	0	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	83	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	10
assemblage-467-749	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	49	53	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	17
assemblage-636-922	0	0	0	0	0	30	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	18	0	0	0	35	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-678-943	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	25	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	20
